names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.0035691031450330313,,0.0011004916756785724,10,_sweetening__natural_gas___cubic_meter__DE__None_,27,24.835659980773926,120,0.27331351240416085,1.3058641388191738,0.4026481040027126
"'market for sour gas, burned in gas turbine' (megajoule, GLO, None)",3.2508700155087223e-06,3.2508700155087223e-06,1.8770809121613797e-06,1.1498088200909286e-06,10,_sweetening__natural_gas___cubic_meter__DE__None_,27,24.835659980773926,120,0.27331351240416085,0.0011894289407475456,0.0004206922701979897
"'market group for electricity, medium voltage' (kilowatt hour, RAS, None)",,3.92494921686595e-05,,1.7354445037291822e-05,10,_sweetening__natural_gas___cubic_meter__DE__None_,27,24.835659980773926,120,0.27331351240416085,0.014360611673900531,0.006349647657240244
"'market group for electricity, medium voltage' (kilowatt hour, GLO, None)",,0.00031419500912401727,,0.00018257836223150724,10,_sweetening__natural_gas___cubic_meter__DE__None_,27,24.835659980773926,120,0.27331351240416085,0.11495772981008093,0.06680180596469028
"'market for electricity, high voltage' (kilowatt hour, RU, None)",,0.00013876168716498994,,9.963105721081091e-05,10,_sweetening__natural_gas___cubic_meter__DE__None_,27,24.835659980773926,120,0.27331351240416085,0.05077015254181684,0.036453030197600336
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.012961845322603832,,0.007101042137755101,10,_sweetening__natural_gas___cubic_meter__DE__None_,27,24.835659980773926,120,0.27331351240416085,4.742482436593392,2.598130650508956
"'market group for electricity, medium voltage' (kilowatt hour, CN, None)",7.996513479259226e-05,7.996513479259226e-05,0.0001595199168955329,9.50323954158952e-05,10,_sweetening__natural_gas___cubic_meter__DE__None_,27,24.835659980773926,120,0.27331351240416085,0.029257658755760405,0.03477047094377338
"'market group for electricity, medium voltage' (kilowatt hour, CN-SGCC, None)",,8.209955025007543e-05,,9.709403310409462e-05,10,_sweetening__natural_gas___cubic_meter__DE__None_,27,24.835659980773926,120,0.27331351240416085,0.030038599090070294,0.035524783333989486
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,3.618180551133443e-06,,1.8150247369111514e-06,10,_sweetening__natural_gas___cubic_meter__DE__None_,27,24.835659980773926,120,0.27331351240416085,0.0013238205895151932,0.0006640815966051446
"'market group for electricity, medium voltage' (kilowatt hour, RNA, None)",6.348557031950613e-05,6.348557031950613e-05,0.0001042664722998439,5.985225800678277e-05,10,_sweetening__natural_gas___cubic_meter__DE__None_,27,24.835659980773926,120,0.27331351240416085,0.023228112566065596,0.021898755564736434
"'market group for heat, district or industrial, other than natural gas' (megajoule, GLO, None)",,1.831720184024277e-06,,7.240002268562166e-07,10,_sweetening__natural_gas___cubic_meter__DE__None_,27,24.835659980773926,120,0.27331351240416085,0.0006701901299763148,0.00026489734096483503
