names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
Mining of metal ores,,0.016891167678930338,,0.00172918979373555,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.014337467857436996,0.0014677613506860626,72
Manufacture of basic metals,,0.17929315124430895,,0.014843892207313688,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.1521866245061548,0.012599710774708084,19
"Electricity, gas, steam and air conditioning supply",,0.19632577935721104,,0.014910080129519169,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.16664416602952903,0.012655892042055004,10
Manufacture of electrical equipment,-0.00015389823564397254,0.0001539991763694899,9.169187424999598e-05,1.0679773408530005e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.00013071673215484623,9.065146405509246e-06,7
Manufacture of other non-metallic mineral products,,0.02396736817593986,,0.0023075507988309894,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.020343849364454193,0.001958682551527279,7
Manufacture of chemicals and chemical products,,0.09270520290066277,,0.009036064039146507,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.07868951940269879,0.007669942077515959,6
"Wholesale trade, except of motor vehicles and motorcycles",,0.6897385485861209,,0.07057065647846258,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.5854600734752164,0.059901395698077606,5
Manufacture of coke and refined petroleum products,,0.2556542728977295,,0.03252440876257556,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.21700305094122085,0.02760718939503771,4
Other mining and quarrying,,0.02131727688746553,,0.0021976196013236346,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.018094413482341122,0.001865371358319642,4
Land transport and transport via pipelines,,8.364984254043003,,0.6237468975499709,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,7.100319832826567,0.5294454039405453,2
Civil engineering,,0.29470889328561184,,0.023377040270539627,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.25015317857828934,0.019842770485249083,2
Manufacture of rubber and plastic products,,0.005944388127003705,,0.0007190676704263985,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.005045682768832884,0.0006103550570349594,2
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.029451712703576705,,0.002855240127711823,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.024999040460697175,0.002423569189203915,1
"Waste collection, treatment, and disposal activities",,0.008604546206315346,,0.000518024132360115,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.007303663488863678,0.0004397063890588395,1
Mining of coal and lignite,,0.012181652046530463,,0.0013062056461764606,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.010339962753757495,0.0011087262777349737,1
Construction of buildings,,0.0004419076189505038,,2.935721929364874e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.00037509758964518155,2.4918833085260855e-05,1
Specialized construction activities,4.1505253850804794e-05,0.00014748542186403358,0.00021831034215066093,1.6376070037628245e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.00012518776295458728,1.3900245516389344e-05,1
Manufacture of machinery and equipment,0.001162779118544465,0.0011723147212349962,0.000675542382295353,7.519726895421638e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,146,1236.966108083725,5700,117.8113726,0.000995077720735253,6.38285314012345e-05,1
