names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.0007242383499367176,,0.000774963625406141,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,146,264.85408091545105,1120,0.1574819320484503,0.45988662986043455,0.49209684903263606
"'market for electricity, high voltage' (kilowatt hour, UA, None)",,0.00018654332716459658,,0.00010255746601968739,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,146,264.85408091545105,1120,0.1574819320484503,0.11845379640580316,0.06512332220316865
"'market group for electricity, high voltage' (kilowatt hour, RAS, None)",,2.4729626887057284e-06,,1.3988463959678132e-06,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,146,264.85408091545105,1120,0.1574819320484503,0.001570315182534658,0.00088825834035199
other,,0.006813711794631497,,0.0023232989256542973,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,146,264.85408091545105,1120,0.1574819320484503,4.326662561223351,1.4752796688698993
"'aluminium ingot, primary, to aluminium, cast alloy market' (kilogram, GLO, None)",,2.168680012602994e-05,,2.2599301916676797e-05,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,146,264.85408091545105,1120,0.1574819320484503,0.013770976672649574,0.014350409359801341
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-4.0792821648327066e-05,4.0792821648327066e-05,5.513902690022555e-05,3.342164505589308e-05,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,146,264.85408091545105,1120,0.1574819320484503,0.025903175759728995,0.02122252668681427
"'market for road' (meter-year, GLO, None)",-0.006764637637379653,0.006764637637379653,0.0012437571916271105,0.00066195361372774,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,146,264.85408091545105,1120,0.1574819320484503,4.295500791353303,0.4203362284913331
"'market for aluminium, cast alloy' (kilogram, GLO, None)",,0.0007133561897479669,,0.000520200164695996,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,146,264.85408091545105,1120,0.1574819320484503,0.4529765290970005,0.330323712650384
"'market group for electricity, medium voltage' (kilowatt hour, RNA, None)",0.0004057989996715198,0.0004057989996715198,0.0003054381310561808,0.0001925622449330223,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,146,264.85408091545105,1120,0.1574819320484503,0.25767971880524887,0.12227576994278894
"'market for electricity, high voltage' (kilowatt hour, SA, None)",,0.00011721266050908966,,6.797524526478625e-05,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,146,264.85408091545105,1120,0.1574819320484503,0.07442927514569002,0.04316383751494314
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,6.154047780572855e-05,,3.148883827686548e-05,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,146,264.85408091545105,1120,0.1574819320484503,0.039077802135927084,0.019995206984873504
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,7.608693800864552e-05,,3.802481535170909e-05,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,146,264.85408091545105,1120,0.1574819320484503,0.04831470951552518,0.024145509809982847
"'market for petroleum' (kilogram, CH, None)",,0.007328123357124503,,0.0066395659296341674,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,146,264.85408091545105,1120,0.1574819320484503,4.653310549219044,4.216081072456911
"'market for petroleum' (kilogram, RNA, None)",,0.00048243863920740084,,0.00019584351414782115,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,146,264.85408091545105,1120,0.1574819320484503,0.30634539018671403,0.12435935449888225
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",-2.1754380509150795e-06,2.481402452049475e-06,3.125874107479524e-06,1.7521011027212461e-06,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,146,264.85408091545105,1120,0.1574819320484503,0.0015756743772270053,0.0011125727757659216
"'market for petroleum' (kilogram, Europe without Switzerland, None)",,0.0128167135435902,,0.0040902176899185955,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,146,264.85408091545105,1120,0.1574819320484503,8.138529529626966,2.597261563098054
