names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.0002052860686571901,,9.237863752377233e-05,10,_transport__freight__sea__container_ship___ton_kilometer__GLO__None_,82,30.71701455116272,170,0.010346408533003735,1.9841287728234729,0.8928570453128364
"'market group for heavy fuel oil' (kilogram, RER, None)",8.05964420175663e-05,0.00010865114065786593,0.00010065589935250723,4.39512222496785e-05,10,_transport__freight__sea__container_ship___ton_kilometer__GLO__None_,82,30.71701455116272,170,0.010346408533003735,1.0501338731336824,0.42479689555539646
"'market for heavy fuel oil' (kilogram, CO, None)",-2.672031352484762e-06,3.4508529056436616e-06,4.3071606739244865e-06,2.344588774923759e-06,10,_transport__freight__sea__container_ship___ton_kilometer__GLO__None_,82,30.71701455116272,170,0.010346408533003735,0.03335314756454742,0.022660895009556384
"'market for diesel' (kilogram, RoW, None)",,5.973085307871056e-06,,1.8411691169215475e-06,10,_transport__freight__sea__container_ship___ton_kilometer__GLO__None_,82,30.71701455116272,170,0.010346408533003735,0.057731001910640484,0.017795248573922545
"'market for petroleum' (kilogram, RoW, None)",,0.0005169302244455059,,0.00024119454174896778,10,_transport__freight__sea__container_ship___ton_kilometer__GLO__None_,82,30.71701455116272,170,0.010346408533003735,4.996228621715099,2.331190972979539
"'market for heavy fuel oil' (kilogram, PE, None)",-1.9425096986578316e-05,1.9425096986578316e-05,1.207626428660059e-06,7.523247563366934e-07,10,_transport__freight__sea__container_ship___ton_kilometer__GLO__None_,82,30.71701455116272,170,0.010346408533003735,0.18774724509103533,0.007271361399821711
"'market for heavy fuel oil' (kilogram, ZA, None)",,3.805866150098374e-05,,6.866966350273071e-06,10,_transport__freight__sea__container_ship___ton_kilometer__GLO__None_,82,30.71701455116272,170,0.010346408533003735,0.36784417877547965,0.06637053165229574
"'market for coke' (megajoule, GLO, None)",,2.6034796281598685e-06,,1.9837739987875965e-06,10,_transport__freight__sea__container_ship___ton_kilometer__GLO__None_,82,30.71701455116272,170,0.010346408533003735,0.025163124188022325,0.019173551792968625
"'market for diesel, low-sulfur' (kilogram, RoW, None)",,1.0566235057900971e-05,,3.6598171910213997e-06,10,_transport__freight__sea__container_ship___ton_kilometer__GLO__None_,82,30.71701455116272,170,0.010346408533003735,0.10212466503904247,0.03537282699931136
"'market for heavy fuel oil' (kilogram, IN, None)",6.355874743563337e-06,6.7204254588456615e-06,7.350976199140019e-06,4.328370139986211e-06,10,_transport__freight__sea__container_ship___ton_kilometer__GLO__None_,82,30.71701455116272,170,0.010346408533003735,0.06495418615462896,0.04183451799896803
"'market group for diesel' (kilogram, GLO, None)",,2.209487193170897e-06,,5.981763471202177e-07,10,_transport__freight__sea__container_ship___ton_kilometer__GLO__None_,82,30.71701455116272,170,0.010346408533003735,0.021355112608620785,0.005781487800448927
"'market for heavy fuel oil' (kilogram, RoW, None)",,0.0019719917510199448,,0.00041843235661481276,10,_transport__freight__sea__container_ship___ton_kilometer__GLO__None_,82,30.71701455116272,170,0.010346408533003735,19.059674134551525,4.0442280553688414
"'market for petroleum' (kilogram, Europe without Switzerland, None)",,3.9098110353514505e-05,,2.446459455176182e-05,10,_transport__freight__sea__container_ship___ton_kilometer__GLO__None_,82,30.71701455116272,170,0.010346408533003735,0.37789064899956804,0.2364549444739482
"'market for petroleum' (kilogram, CH, None)",,0.00010202270727480846,,4.550383056865374e-05,10,_transport__freight__sea__container_ship___ton_kilometer__GLO__None_,82,30.71701455116272,170,0.010346408533003735,0.9860688078319054,0.4398031493102391
"'market for heavy fuel oil' (kilogram, BR, None)",3.955903688484287e-05,3.955903688484287e-05,5.774296025076087e-06,3.220788198804682e-06,10,_transport__freight__sea__container_ship___ton_kilometer__GLO__None_,82,30.71701455116272,170,0.010346408533003735,0.38234559130982065,0.03112952855602768
"'market for petroleum' (kilogram, RNA, None)",,0.00022229382791136098,,7.261538510628183e-05,10,_transport__freight__sea__container_ship___ton_kilometer__GLO__None_,82,30.71701455116272,170,0.010346408533003735,2.1485119904387284,0.7018414638726853
