names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.0036789676499698297,,0.0010726543928140425,10,_transport__freight_train__diesel___ton_kilometer__RoW__None_,171,41.00355768203735,170,0.057583148282385886,6.388965799383341,1.8627921966923036
"'market for diesel' (kilogram, PE, None)",-1.0386579306195105e-05,1.0386579306195105e-05,5.559207318139254e-06,2.8229180549689173e-06,10,_transport__freight_train__diesel___ton_kilometer__RoW__None_,171,41.00355768203735,170,0.057583148282385886,0.018037532882467032,0.0049023336499863105
"'market for road' (meter-year, GLO, None)",-0.00013609081985172176,0.00013609081985172176,0.00010269779296872533,6.456816326148244e-05,10,_transport__freight_train__diesel___ton_kilometer__RoW__None_,171,41.00355768203735,170,0.057583148282385886,0.236337928562601,0.11213031101537253
"'market for diesel, low-sulfur' (kilogram, IN, None)",0.00011205647623768155,0.00011205647623768155,8.078701277122875e-05,5.0052152094723976e-05,10,_transport__freight_train__diesel___ton_kilometer__RoW__None_,171,41.00355768203735,170,0.057583148282385886,0.19459942636022648,0.08692152754356161
"'market for diesel' (kilogram, RoW, None)",,0.009674285842698896,,0.0029244074096370283,10,_transport__freight_train__diesel___ton_kilometer__RoW__None_,171,41.00355768203735,170,0.057583148282385886,16.800550388902867,5.078582010305913
"'market group for diesel' (kilogram, RER, None)",1.4748775535822385e-05,1.4748775535822385e-05,9.241429550776977e-06,4.967385796025553e-06,10,_transport__freight_train__diesel___ton_kilometer__RoW__None_,171,41.00355768203735,170,0.057583148282385886,0.02561300654055049,0.008626457469233281
"'market for pipeline, petroleum' (kilometer, GLO, None)",-3.6319015964689574e-06,4.035792289943003e-06,4.556605267632754e-06,2.3430644364248974e-06,10,_transport__freight_train__diesel___ton_kilometer__RoW__None_,171,41.00355768203735,170,0.057583148282385886,0.007008634314594279,0.004069010650363515
"'market for railway track' (meter-year, GLO, None)",0.011936765849200967,0.011936765849200967,0.002624498327227547,0.0012875502280097675,10,_transport__freight_train__diesel___ton_kilometer__RoW__None_,171,41.00355768203735,170,0.057583148282385886,20.72961657230594,2.2359844267209272
"'market for diesel, low-sulfur' (kilogram, ZA, None)",,7.1877642084287e-05,,2.924911195319074e-05,10,_transport__freight_train__diesel___ton_kilometer__RoW__None_,171,41.00355768203735,170,0.057583148282385886,0.12482409216634245,0.05079456894186134
"'market for coke' (megajoule, GLO, None)",,8.957649669688247e-05,,5.094237331079303e-05,10,_transport__freight_train__diesel___ton_kilometer__RoW__None_,171,41.00355768203735,170,0.057583148282385886,0.1555602626268405,0.08846750278566447
"'market for diesel, low-sulfur' (kilogram, RoW, None)",,0.00025914503546804084,,0.0001573047127567589,10,_transport__freight_train__diesel___ton_kilometer__RoW__None_,171,41.00355768203735,170,0.057583148282385886,0.4500362401117806,0.27317838195532784
"'market group for diesel' (kilogram, GLO, None)",,9.166875578883685e-05,,5.048680045731974e-05,10,_transport__freight_train__diesel___ton_kilometer__RoW__None_,171,41.00355768203735,170,0.057583148282385886,0.15919371990446973,0.08767634622847316
"'market for diesel' (kilogram, BR, None)",-0.000574165524659523,0.000574165524659523,4.058777063686556e-05,2.036504622221175e-05,10,_transport__freight_train__diesel___ton_kilometer__RoW__None_,171,41.00355768203735,170,0.057583148282385886,0.9971068650915611,0.03536632995879667
"'market for heavy fuel oil' (kilogram, RoW, None)",,0.00030685931857718247,,7.705022666664092e-05,10,_transport__freight_train__diesel___ton_kilometer__RoW__None_,171,41.00355768203735,170,0.057583148282385886,0.5328977795245831,0.13380690178451013
"'market for petroleum coke' (kilogram, GLO, None)",,8.112876782913162e-06,,4.3817392059601505e-06,10,_transport__freight_train__diesel___ton_kilometer__RoW__None_,171,41.00355768203735,170,0.057583148282385886,0.014088977461127824,0.007609412365701583
"'market for pitch' (kilogram, RoW, None)",9.935932602304041e-06,9.935932602304041e-06,8.56538229633251e-06,5.045366179179272e-06,10,_transport__freight_train__diesel___ton_kilometer__RoW__None_,171,41.00355768203735,170,0.057583148282385886,0.017254931171144988,0.008761879698617659
