names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.0033355564829660182,,0.0012461243385914543,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,1.2334734782856918,0.46081106110728615
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,4.1450962715382204e-05,,3.369440634400566e-05,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.01532837576576391,0.01246003681968996
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",8.561315042879339e-05,8.561315042879339e-05,9.459570858624857e-05,5.5514462338015655e-05,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.031659350092161455,0.02052899337934246
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,0.00017334659245148848,,0.00015070444462754064,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.06410277428430165,0.05572981193907121
"'market for copper, anode' (kilogram, GLO, None)",,1.0343885816711805e-05,,6.384809809876487e-06,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.0038251214999615794,0.002361073363500045
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,5.769002827540892e-05,,2.3451658738536195e-05,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.021333507677853195,0.008672315766054433
"'market group for electricity, low voltage' (kilowatt hour, RER, None)",0.0022249281696332,0.0022249281696332,0.00038301830008826484,0.00024132418853712266,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.822768225436535,0.08924057732179896
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.00022157683635880553,0.00022157683635880553,0.00023585628785583352,0.0001316812157359721,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.08193809712015596,0.04869510920537838
"'market group for heat, district or industrial, natural gas' (megajoule, GLO, None)",,0.0004339855037475193,,0.00020193179794737948,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.16048584743407399,0.07467345207992247
"'market for natural gas, high pressure' (cubic meter, CH, None)",,0.00024906881594959215,,8.722494427458122e-05,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.09210450499361911,0.03225538405872632
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",,2.0588800334793433e-05,,9.160046155536328e-06,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.007613643867935663,0.0033873430266963887
"'market for electricity, medium voltage' (kilowatt hour, CZ, None)",-0.00022562948831927817,0.00022562948831927817,0.00016154061580497592,0.00010100908408967407,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.0834367492147895,0.03735269569764666
"'market for aluminium, cast alloy' (kilogram, GLO, None)",,0.018506199860531418,,0.005630217092486335,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,6.843507771009743,2.082028439943352
"'market group for electricity, low voltage' (kilowatt hour, RAS, None)",,3.134574055149234e-05,,2.0249432149209435e-05,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.011591510989227645,0.007488147070495862
"'market for steel, unalloyed' (kilogram, GLO, None)",0.0014585486892090542,0.0014748505112843167,0.001314393594006907,0.0007621653215104353,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.545392949990657,0.281845237804593
"'market for natural gas, high pressure' (cubic meter, PL, None)",,0.0023951270693312473,,0.00205047916280781,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.8857069973874961,0.7582577833764865
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",,0.00020433959413115809,,0.00013225648219176154,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.07556384405768549,0.04890784010044411
"'market for electricity, high voltage' (kilowatt hour, CN-CSG, None)",,0.00035988264830592675,,0.0003988532606519087,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.1330829515996837,0.14749410518284173
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",-6.939948857604544e-06,6.939948857604544e-06,1.1574658049936815e-05,5.866064558581444e-06,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.0025663612354429135,0.0021692437504424625
"'market for electricity, low voltage' (kilowatt hour, IT, None)",,6.246675052536121e-07,,5.526169283066853e-07,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.00023099917642290107,0.00020435520375655
"'market for electricity, high voltage' (kilowatt hour, QA, None)",-0.0001014894205053761,0.0001014894205053761,5.850753480683919e-05,3.802077624542185e-05,10,_transport__passenger_car__small_size__natural_gas__EURO_3___kilometer__RER__None_,224,297.69873213768005,1390,0.2704197975623965,0.03753032189958596,0.014059908552608453
