names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.4231803238845349,,0.17331578588089344,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,4.97121708910723,2.035988792376445
"'market for electricity, high voltage' (kilowatt hour, ES, None)",,0.002220096887052337,,0.0012883196513061156,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.02608009626506095,0.015134249645673763
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",,0.00348687184398824,,0.0029907529424397883,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.040961254387363186,0.0351332075184362
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.08075959070823346,,0.031633696675202765,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.9487053976252877,0.3716098424895353
"'market for natural gas, high pressure' (cubic meter, US, None)",,0.00500438717541607,,0.0022281908920979893,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.058787929501479805,0.026175178795914265
"'market for electricity, high voltage' (kilowatt hour, VE, None)",,0.009028726650953644,,0.008085261006030941,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.10606296580165486,0.09497981218531368
"'market for electricity, high voltage' (kilowatt hour, PK, None)",,0.0029469744076542565,,0.0029977719947203454,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.03461892888122505,0.035215662279863065
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",,0.0009169620727643926,,0.0004407348736264456,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.010771808774912003,0.005177435272569798
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,0.001238275997461914,,0.0008524514345973145,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.014546372910507924,0.010013984346919707
"'market group for electricity, medium voltage' (kilowatt hour, Canada without Quebec, None)",,0.01768632758872784,,0.017212282949425735,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.20776621451951593,0.20219748015524694
"'market for natural gas, high pressure' (cubic meter, RoW, None)",,0.008070331770343596,,0.004698977235507937,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.09480443429700597,0.055200193903288855
"'market for electricity, high voltage' (kilowatt hour, DZ, None)",,0.0020040326731486147,,0.0008794859785881128,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.02354192978642341,0.010331566662301525
"'market for electricity, high voltage' (kilowatt hour, GR, None)",,0.005697207672595141,,0.00419043380149274,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.06692668478113244,0.04922619259216123
"'market for electricity, high voltage' (kilowatt hour, RU, None)",,0.03819755044649072,,0.021958712898688244,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.4487172602888819,0.25795511429908347
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.008335922328991252,,0.005308323663800226,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.09792440053677616,0.06235835605437129
"'market for brazing solder, cadmium free' (kilogram, GLO, None)",-1.7764726632396588e-05,1.7764726632396588e-05,1.0440702898204215e-05,5.426213039804265e-06,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.00020868718991383055,6.37432353777667e-05
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.017922794377286656,0.017922794377286656,0.030729270557166136,0.016965425736928046,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.2105440557232356,0.19929757974855242
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,0.0130221569493129,,0.02150849979184048,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.1529749033915954,0.2526663355818756
"'market for electricity, medium voltage' (kilowatt hour, US-NPCC, None)",-0.1241964600809435,0.1241964600809435,0.180772237332484,0.09440306298601675,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,1.45897039610346,1.1089790651708114
"'market for electricity, high voltage' (kilowatt hour, SG, None)",,0.03836973924927882,,0.05499059677554419,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.4507400100970858,0.6459898511382101
"'market for electricity, high voltage' (kilowatt hour, US-RFC, None)",,0.01940301005439528,,0.017528561109702828,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.22793256141286827,0.20591288776410796
"'market for electricity, high voltage' (kilowatt hour, UA, None)",,0.007352814118328819,,0.009483855429832962,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.08637555466316647,0.11140949028686865
"'market for electricity, high voltage' (kilowatt hour, SA, None)",,0.01250616383553027,,0.004494899716741729,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.14691338861805464,0.052802838469840144
"'market for electricity, high voltage' (kilowatt hour, KW, None)",,0.013065632077787926,,0.011279268844343066,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.15348561783040077,0.13250071155702461
"'market group for natural gas, high pressure' (cubic meter, Europe without Switzerland, None)",,0.001114772240303341,,0.00046125743105180196,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.013095539888500105,0.005418519468660523
"'market for natural gas, high pressure' (cubic meter, IR, None)",-0.0004211433196681824,0.0004211433196681824,0.00022655115339665288,0.00011351715384892605,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.004947287833422654,0.0013335176123986583
"'market for electricity, high voltage' (kilowatt hour, CZ, None)",,0.02582987742387328,,0.035349898540406564,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.3034307618095674,0.41526510048757487
"'market for electricity, high voltage' (kilowatt hour, CA-AB, None)",,0.0044517522649998986,,0.0038923601681556987,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.052295973340853334,0.045724638629879924
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",-0.4218866466129262,0.4218866466129262,0.2951095269912839,0.19248803228767003,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,4.9560199020041615,2.2612105089701204
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.021611412423201953,,0.017497809399328285,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.2538752789160386,0.2055516388602603
"'market for electricity, high voltage' (kilowatt hour, IN-Northern grid, None)",,0.0023432509589536446,,0.0014058509047364686,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.027526821436990184,0.016514922003485425
"'market for electricity, medium voltage' (kilowatt hour, US-MRO, None)",-0.17362911049839844,0.17362911049839844,0.27026035123977776,0.14613929846889628,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,2.039669503896019,1.7167390281050563
"'market for electricity, medium voltage' (kilowatt hour, US-RFC, None)",-0.09398728812981279,0.09398728812981279,0.1886227371420012,0.12335094962103514,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,1.1040948421724233,1.4490379493187597
"'market for electricity, high voltage' (kilowatt hour, BD, None)",,0.0955926659496809,,0.06756386949042181,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,1.1229536624014553,0.7936915864468198
"'market for electricity, high voltage' (kilowatt hour, US-NPCC, None)",,0.04865149131002364,,0.04888522906311803,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.5715226142625013,0.5742683967267858
"'market group for electricity, low voltage' (kilowatt hour, RER, None)",0.002765425759737461,0.002765425759737461,0.002810563553093371,0.0016725206720656976,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.032486226366269425,0.01964756600811789
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.02793097204238888,0.02793097204238888,0.04158883887009012,0.02610185455250135,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.328112905292793,0.3066257528650851
"'market for electricity, medium voltage' (kilowatt hour, US-WECC, None)",0.0343580915782153,0.0343580915782153,0.020259953501988354,0.011011370064398162,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.4036140679577968,0.12935362999900668
"'market for electricity, medium voltage' (kilowatt hour, FI, None)",0.006828708190073751,0.006828708190073751,0.007925044139815653,0.0047915661510819045,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.08021873639919895,0.05628786167370439
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",,0.8415975237980848,,0.2948939737682562,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,9.8864804347494,3.4642016160266684
"'market for electricity, medium voltage' (kilowatt hour, GB, None)",-0.009769405214894378,0.009769405214894378,0.02165577275293787,0.012308993468421675,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.11476392311649031,0.14459717341825903
"'market for electricity, high voltage' (kilowatt hour, AR, None)",,0.014056993204944664,,0.011430291362818397,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.16513141301189618,0.134274815130161
"'market for electricity, medium voltage' (kilowatt hour, ES, None)",-0.002722842589419727,0.002722842589419727,0.002468425057617374,0.00126489612833218,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.03198599000828213,0.014859086999579432
"'market group for heat, district or industrial, other than natural gas' (megajoule, RER, None)",0.014261630946593806,0.014261630946593806,0.011440000712015693,0.006624447895408632,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.1675353495395314,0.07781923384637615
"'market for electricity, high voltage' (kilowatt hour, HK, None)",,0.06307264571916778,,0.08767092991851753,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.7409319303321027,1.0298948236255276
"'market for electricity, high voltage' (kilowatt hour, US-PR, None)",,0.7585108069678553,,0.5433636093048487,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,8.910437638636438,6.383043605099814
"'market for electricity, high voltage' (kilowatt hour, US-SERC, None)",,0.004802779411681589,,0.0029532755094611976,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.056419586968032995,0.03469294967854222
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",,0.0027482365711634757,,0.0013279126611676197,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.03228430018217256,0.015599359756243093
"'market group for heat, district or industrial, natural gas' (megajoule, GLO, None)",,0.018237569868626326,,0.011027931122731387,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.21424181106170653,0.12954817736227747
"'market for electricity, medium voltage' (kilowatt hour, FR, None)",-0.0020732945999930364,0.0020732945999930364,0.0022164544104687034,0.0011741282915931212,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.024355568925391105,0.013792811949273402
"'market for electricity, high voltage' (kilowatt hour, RS, None)",,0.007039738187639366,,0.00942416019000683,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.08269776453685565,0.11070823368391991
"'market for electricity, high voltage' (kilowatt hour, IN-Eastern grid, None)",,0.010006005463089718,,0.00732015169442595,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.11754333210771885,0.08599186007550907
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",,0.009285850699504812,,0.013098964031459616,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.10908347359002445,0.15387717757066707
"'market for electricity, medium voltage' (kilowatt hour, CZ, None)",-0.03502648912462736,0.03502648912462736,0.08477341646845123,0.0504904050522062,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.41146592003480303,0.593124845993451
"'market for explosive, tovex' (kilogram, GLO, None)",-0.004103053205643525,0.004103053205643525,0.002726478926717829,0.00174082126577679,10,_vinyl_fluoride_production___kilogram__US__None_,191,368.6391830444336,1330,8.512610016806425,0.048199708403684385,0.020449912099108156
