names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for light fuel oil' (kilogram, RoW, None)",,0.004610234053417547,,0.001962373404704221,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,2.615614220886959,1.113351670340856
other,,0.006387479331279851,,0.00230908474041182,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,3.623933531559453,1.3100581910319808
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,3.628775809335075e-05,,3.1371840625182096e-05,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.02058784326637693,0.017798799697337987
"'market group for electricity, medium voltage' (kilowatt hour, Canada without Quebec, None)",,0.008725434214360867,,0.006145703608430094,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,4.950371185076339,3.486762183722512
"'market group for heavy fuel oil' (kilogram, RER, None)",0.00010399308195538568,0.00010399308195538568,3.056730270006424e-05,1.830444374317481e-05,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.05900042836973386,0.0103850179416774
"'market for brazing solder, cadmium free' (kilogram, GLO, None)",-1.0258417939057462e-06,1.0258417939057462e-06,6.192851778768882e-07,3.772176812746884e-07,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.0005820108813197909,0.00021401428215573468
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.00037431268216942746,0.00037431268216942746,0.0004764414122968311,0.00025110351983664945,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.2123661322172838,0.14246346927064046
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,0.0003018315392107021,,0.00046067372099018914,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.17124398829306245,0.2613630288287922
"'market for copper concentrate, sulfide ore' (kilogram, GLO, None)",,0.00026460813644323816,,0.0002159680567502435,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.15012530744079475,0.12252938005924206
"'market for chemical, organic' (kilogram, GLO, None)",,0.0016192887275014126,,0.0006602566227934167,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.9187027327245854,0.37459629858337823
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.0001514141978973503,,5.911749610863966e-05,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.08590477721427574,0.03354028488214429
"'market for synthetic rubber' (kilogram, GLO, None)",-0.00010453420301460362,0.00010453420301460362,3.803744066050675e-05,2.3543966438787577e-05,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.059307433159797106,0.013357658791255436
"'transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.008077632775467941,,0.006820248350664239,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,4.582841329488351,3.869464840457315
"'market for copper oxide' (kilogram, GLO, None)",-2.99146391043309e-06,2.99146391043309e-06,5.004597142774765e-06,2.810724236806345e-06,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.0016972057068552998,0.0015946631341487933
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",,0.00016225425441986768,,0.00016169364558546635,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.09205487841672914,0.09173681724616276
"'market for electricity, high voltage' (kilowatt hour, BD, None)",,0.001405507177432501,,0.0011191230646192504,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.7974138662495759,0.6349339683894768
"'market for electricity, high voltage' (kilowatt hour, US-NPCC, None)",,0.0001631896757053803,,6.000928305333399e-05,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.09258558926319765,0.034046239804934965
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.0009684986720619619,0.0009684986720619619,0.0015784357052713038,0.0009377259007114243,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.5494772868803783,0.5320183688671156
"'market group for heat, district or industrial, natural gas' (megajoule, GLO, None)",,0.0003181827049723564,,0.00021978769604480707,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.18052081484865973,0.12469645069855441
"'market for sodium hypochlorite, without water, in 15% solution state' (kilogram, RoW, None)",0.00035011592733803776,0.00035011592733803776,0.00035251232378489254,0.00018742440915941685,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.19863811422449185,0.10633515441050144
"'market group for transport, freight train' (ton kilometer, GLO, None)",,0.0008534099426517838,,0.0003974123673593239,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.4841817479074877,0.22547172824139802
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",,0.00014596429383012614,,0.00012948298254120442,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.08281277658794438,0.07346211202586816
"'market for electricity, medium voltage' (kilowatt hour, CZ, None)",-0.00016220911461303707,0.00016220911461303707,0.00019129972549194107,0.00011175791458918703,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.09202926836758496,0.0634058026792491
"'market for polyethylene, high density, granulate' (kilogram, GLO, None)",,9.010811580373382e-05,,5.4551650426940436e-05,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.05112279905590922,0.03094985438402785
"'market group for electricity, low voltage' (kilowatt hour, RAS, None)",,0.00016173835608403533,,9.860890539883932e-05,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.09176218372745741,0.05594571821708354
"'market for electricity, low voltage' (kilowatt hour, CN-NECG, None)",,3.0972919329269593e-06,,5.021565108933144e-06,10,_zinc_sulfide_production___kilogram__RoW__None_,315,656.0997312068939,2380,0.17625818121810827,0.0017572471879159232,0.0028489827106063675
