names,mu,mu_star,sigma,mu_star_conf,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market group for heat, district or industrial, natural gas' (megajoule, RER, None)",-0.071296245,0.071522897,0.059633741,0.007706215,250,195,9665.196772,31750,117.8113726,0.060709671,0.006541147
"'market for diesel' (kilogram, BR, None)",-0.343213605,0.343213605,0.500969226,0.055193966,250,195,9665.196772,31750,117.8113726,0.291324681,0.046849438
"'market group for diesel, low-sulfur' (kilogram, RER, None)",-0.055786846,2.279117952,3.538507313,0.314398669,250,195,9665.196772,31750,117.8113726,1.934548339,0.266866145
"'market for waste mineral oil' (kilogram, Europe without Switzerland, None)",,0.31246625,,0.020105543,250,195,9665.196772,31750,117.8113726,0.26522588,0.017065876
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.042335119,,0.004843252,250,195,9665.196772,31750,117.8113726,0.035934663,0.004111023
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",,0.364478491,,0.039334638,250,195,9665.196772,31750,117.8113726,0.309374624,0.033387811
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.610161446,,0.127542952,250,195,9665.196772,31750,117.8113726,0.517913876,0.108260306
"'market for electricity, high voltage' (kilowatt hour, CN-NWG, None)",,0.011281437,,0.002464663,250,195,9665.196772,31750,117.8113726,0.009575848,0.002092042
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,19.13203265,,4.452770065,250,195,9665.196772,31750,117.8113726,16.23954651,3.779575746
"'market for electricity, high voltage' (kilowatt hour, GB, None)",,0.121217555,,0.029801461,250,195,9665.196772,31750,117.8113726,0.102891217,0.025295911
"'market for electricity, medium voltage' (kilowatt hour, IT, None)",0.118042929,0.118042929,0.132309279,0.017179404,250,195,9665.196772,31750,117.8113726,0.100196548,0.014582127
"'market for electricity, high voltage' (kilowatt hour, KR, None)",,0.052438539,,0.010092177,250,195,9665.196772,31750,117.8113726,0.044510592,0.008566386
"'market group for electricity, medium voltage' (kilowatt hour, GLO, None)",,0.412737576,,0.040107972,250,195,9665.196772,31750,117.8113726,0.350337634,0.034044228
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-0.485487824,0.485487824,0.225375875,0.027100524,250,195,9665.196772,31750,117.8113726,0.412089099,0.023003317
"'market for heat, central or small-scale, other than natural gas' (megajoule, CH, None)",,0.039579536,,0.009291194,250,195,9665.196772,31750,117.8113726,0.033595684,0.0078865
"'market for petrol, unleaded' (kilogram, BR, None)",-0.013347935,0.013347935,0.014854508,0.001861145,250,195,9665.196772,31750,117.8113726,0.011329921,0.001579767
"'market group for transport, freight train' (ton kilometer, GLO, None)",,0.109665993,,0.013881216,250,195,9665.196772,31750,117.8113726,0.093086084,0.011782577
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.046748598,,0.004849931,250,195,9665.196772,31750,117.8113726,0.039680887,0.004116691
"'market for heavy fuel oil' (kilogram, RoW, None)",,0.459908627,,0.03596567,250,195,9665.196772,31750,117.8113726,0.390377106,0.030528182
"'market for petroleum' (kilogram, RoW, None)",,0.699142672,,0.073767809,250,195,9665.196772,31750,117.8113726,0.59344243,0.062615185
"'market for electricity, high voltage' (kilowatt hour, US-SERC, None)",,0.027554066,,0.006600561,250,195,9665.196772,31750,117.8113726,0.023388291,0.005602652
"'market for natural gas, high pressure' (cubic meter, RU, None)",-0.001743187,0.001743215,0.001597983,0.000199491,250,195,9665.196772,31750,117.8113726,0.001479666,0.00016933
"'market for electricity, medium voltage' (kilowatt hour, US-MRO, None)",-0.071602006,0.07160748,0.124490834,0.014924195,250,195,9665.196772,31750,117.8113726,0.060781467,0.012667873
"'market for transport, freight train' (ton kilometer, CN, None)",,0.142871393,,0.016819049,250,195,9665.196772,31750,117.8113726,0.121271308,0.014276253
"'market group for heat, district or industrial, natural gas' (megajoule, GLO, None)",,0.074146349,,0.006324194,250,195,9665.196772,31750,117.8113726,0.062936495,0.005368068
"'market for electricity, high voltage' (kilowatt hour, CN-CCG, None)",,0.026692664,,0.006260658,250,195,9665.196772,31750,117.8113726,0.02265712,0.005314137
