names,mu,mu_star,sigma,mu_star_conf,reference_product,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for sawlog and veneer log, softwood, measured as solid wood under bark' (cubic meter, CH, None)",-96.95550207,96.95550207,34.0191571,3.985140127,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,82.29723492,3.382644679
"'market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,45.82101822,,5.447040441,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,38.89354415,4.623526847
"'transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,30.06741795,,5.698228088,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,25.52165999,4.836738561
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,29.83563677,,5.286098995,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,25.32492077,4.486917416
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,18.91936883,,3.599961338,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,16.05903438,3.055699343
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,10.71633218,,2.072189665,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,9.09617802,1.758904611
"'market for electricity, medium voltage' (kilowatt hour, CH, None)",6.292821947,6.703780626,5.742266867,0.623276935,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,5.690266125,0.529046493
"'market for electricity, high voltage' (kilowatt hour, CH, None)",,6.26789422,,0.818675821,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,5.320279428,0.694903898
"'market for petroleum' (kilogram, Europe without Switzerland, None)",,3.905083269,,0.447349287,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,3.314691258,0.379716556
"'market for sawlog and veneer log, softwood, measured as solid wood under bark' (cubic meter, Europe without Switzerland, None)",,3.296013149,,0.379789968,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,2.797703716,0.322371228
"'market for petroleum' (kilogram, CH, None)",,2.671068961,,0.436880095,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,2.267242034,0.370830154
"'market group for diesel, low-sulfur' (kilogram, RER, None)",-0.021524494,2.335927708,3.684871566,0.293320377,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,1.982769283,0.248974586
"'market for road' (meter-year, GLO, None)",-2.271024354,2.271024354,1.105950992,0.12003294,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,1.927678376,0.101885699
"'market for diesel, low-sulfur' (kilogram, CH, None)",0.485324017,2.08673257,3.401693087,0.315841291,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,1.77124884,0.268090664
"'market for petrol, two-stroke blend' (kilogram, GLO, None)",,1.580931669,,0.121526351,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,1.341917706,0.103153327
"'market group for diesel' (kilogram, GLO, None)",,1.417744792,,0.158151992,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,1.203402321,0.134241702
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",-1.234334478,1.263839135,0.966946869,0.101476794,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,1.072764969,0.086134973
"'market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,1.103494537,,0.149760928,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.936662151,0.127119246
"'market for road maintenance' (meter-year, RER, None)",0.984906034,1.029081729,0.888615438,0.102694607,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.873499482,0.08716867
"'market for petroleum' (kilogram, RoW, None)",,0.72378591,,0.064147629,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.614359967,0.054449437
"'market for transport, freight train' (ton kilometer, CH, None)",0.612978932,0.612978932,0.037368178,0.004421426,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.520305399,0.00375297
"'market group for electricity, medium voltage' (kilowatt hour, Europe without Switzerland, None)",,0.605227869,,0.069699539,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.513726184,0.059161979
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.555956972,,0.103194693,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.471904333,0.087593151
"'market group for transport, freight, lorry, unspecified' (ton kilometer, GLO, None)",,0.506264213,,0.055819451,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.429724399,0.047380359
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-0.498510349,0.498510349,0.237569513,0.02590875,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.423142807,0.021991722
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.459962352,,0.105554363,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.390422709,0.089596073
"'market group for electricity, medium voltage' (kilowatt hour, GLO, None)",,0.442871969,,0.084863923,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.375916144,0.072033727
"'market for heavy fuel oil' (kilogram, RoW, None)",,0.42669651,,0.03048604,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.36218618,0.025876992
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.417207228,,0.07080387,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.35413154,0.060099351
"'market group for electricity, medium voltage' (kilowatt hour, RAS, None)",,0.396956528,,0.042273003,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.336942452,0.035881937
"'market group for electricity, medium voltage' (kilowatt hour, RNA, None)",0.392296484,0.392296484,0.254166465,0.029328184,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.332986939,0.024894188
"'market for diesel' (kilogram, BR, None)",-0.383012605,0.383012605,0.496584128,0.058112725,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.325106648,0.049326923
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",,0.332683294,,0.038984033,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.2823864,0.033090212
"'market for waste mineral oil' (kilogram, Europe without Switzerland, None)",,0.329444412,,0.020599538,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.27963719,0.017485186
"'market for petrol, unleaded' (kilogram, RoW, None)",,0.316960622,,0.043438331,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.269040768,0.036871085
"'market for biogas' (cubic meter, CH, None)",,0.296720078,,0.06273435,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.251860301,0.053249825
"'market for electricity, high voltage' (kilowatt hour, RU, None)",,0.287902438,,0.040761053,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.244375761,0.034598572
"'market for petroleum' (kilogram, RNA, None)",,0.259057647,,0.023190327,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.219891884,0.019684286
"'market group for electricity, high voltage' (kilowatt hour, ENTSO-E, None)",,0.254005328,,0.062620307,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.215603403,0.053153024
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.246134009,,0.058158879,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.208922113,0.049366099
