names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,4.971325082272396,,0.4806980196172901,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9053.597110509872,29700,117.8113726,4.219732758017622,0.40802344375477556
"'market for electricity, high voltage' (kilowatt hour, CN-CCG, None)",,0.0261957793876264,,0.005991320647159433,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9053.597110509872,29700,117.8113726,0.022235357087781182,0.0050855197719336595
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",,0.034901939406730025,,0.005742373031717251,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9053.597110509872,29700,117.8113726,0.029625271853194607,0.004874209429011653
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",-1.3036217804233723,1.4379865339052835,1.212630427023737,0.11277498933493914,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9053.597110509872,29700,117.8113726,1.2205838045768458,0.09572504491382113
"'market group for electricity, medium voltage' (kilowatt hour, RME, None)",,0.025845661057876782,,0.003971582240058989,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9053.597110509872,29700,117.8113726,0.021938171576719907,0.003371136548543183
"'market for electricity, high voltage' (kilowatt hour, US-SERC, None)",,0.022431292484627607,,0.007316478084343009,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9053.597110509872,29700,117.8113726,0.019040006061883035,0.006210332604462847
"'market for electricity, high voltage' (kilowatt hour, CZ, None)",,0.14497151385155013,,0.024428619247532292,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9053.597110509872,29700,117.8113726,0.12305392141025791,0.0207353659569639
"'market group for heat, district or industrial, other than natural gas' (megajoule, GLO, None)",,0.05049617227587678,,0.005483849363542772,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9053.597110509872,29700,117.8113726,0.04286188265314955,0.004654770793785635
"'market group for electricity, medium voltage' (kilowatt hour, Europe without Switzerland, None)",,0.6838683464627803,,0.0801913943524767,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9053.597110509872,29700,117.8113726,0.5804773608611536,0.06806761739781028
"'market group for electricity, low voltage' (kilowatt hour, RAS, None)",,0.016646596146454595,,0.0018604580953963158,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9053.597110509872,29700,117.8113726,0.014129871997140789,0.0015791837870466469
"'market for electricity, medium voltage' (kilowatt hour, US-WECC, None)",0.016114285873806675,0.016180109197862953,0.01744889525296789,0.0020348943654159013,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9053.597110509872,29700,117.8113726,0.013733911116372947,0.0017272478203992179
"'market for heat, district or industrial, other than natural gas' (megajoule, Europe without Switzerland, None)",,0.13571411410648762,,0.016493201178039436,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9053.597110509872,29700,117.8113726,0.11519610637868727,0.013999668125451784
"'market for electricity, high voltage' (kilowatt hour, PL, None)",,0.12259606476684431,,0.020681622036632614,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9053.597110509872,29700,117.8113726,0.10406131603532844,0.017554860435122895
"'market for transport, freight train' (ton kilometer, CN, None)",,0.11183178251074871,,0.01283908543825791,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9053.597110509872,29700,117.8113726,0.09492443729557966,0.010898001742030386
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,11.172765158055567,,1.8438197420357387,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9053.597110509872,29700,117.8113726,9.483604945330692,1.5650609116455865
"'market for petroleum' (kilogram, RoW, None)",,0.6897975980142305,,0.06326803724914024,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9053.597110509872,29700,117.8113726,0.5855101954853469,0.053702826690553505
