names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.028869864868308552,,0.0028010900293225787,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9865.277496814728,33000,54.698955968801435,0.05277955375377734,0.005120920463125901
other,,2.733503308923105,,0.22445734152097305,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9865.277496814728,33000,54.698955968801435,4.997359200936503,0.4103503212181901
"'market for electricity, high voltage' (kilowatt hour, UA, None)",,0.08171488359393006,,0.014401768796739316,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9865.277496814728,33000,54.698955968801435,0.14939020708281464,0.026329147497721223
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.02340590410158723,,0.002236941444518131,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9865.277496814728,33000,54.698955968801435,0.04279040374177749,0.004089550531447095
"'market for petrol, unleaded' (kilogram, ZA, None)",,0.03190454742934165,,0.0036956197334879507,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9865.277496814728,33000,54.698955968801435,0.058327525387393137,0.006756289344161918
"'market for heat, central or small-scale, other than natural gas' (megajoule, CH, None)",,0.04003076044461891,,0.005951584785414373,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9865.277496814728,33000,54.698955968801435,0.07318377423410274,0.010880618615113915
"'market for coke' (megajoule, GLO, None)",,0.06630830502784343,,0.007083808541185615,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9865.277496814728,33000,54.698955968801435,0.12122407796167738,0.012950537017975257
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-0.013239653942143199,0.013239653942143199,0.035679510013863124,0.004217615629106417,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9865.277496814728,33000,54.698955968801435,0.024204582532973175,0.007710596215971676
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",,0.16665025330078642,,0.01756433139211977,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9865.277496814728,33000,54.698955968801435,0.30466806970838434,0.03211090793421709
"'market group for electricity, high voltage' (kilowatt hour, UCTE, None)",,0.012398695054821664,,0.005336216024008082,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,9865.277496814728,33000,54.698955968801435,0.022667151201009195,0.009755608547723822
