names,mu_star,mu_star_conf,reference_product,score,mu_star_local_relative,mu_star_local_relative_conf
"'market for electricity, medium voltage' (kilowatt hour, GB, None)",0.10935255000097185,9.915267409878546e-06,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.1044950591161952,9.474826642258769e-06
"'market for electricity, medium voltage' (kilowatt hour, US-WECC, None)",0.8032367055907365,2.632797143199063e-05,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.7675565593509792,2.5158470755102724e-05
"'market for electricity, high voltage' (kilowatt hour, PH, None)",0.46711687722880135,0.16126097133564615,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.44636732933765405,0.1540976843494152
"'market for electricity, high voltage' (kilowatt hour, DE, None)",0.11110992024415088,0.04742384142194504,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.10617436615977491,0.045317252435898125
"'market for explosive, tovex' (kilogram, GLO, None)",0.018803969005499254,7.579763590838741e-07,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.017968687998874133,7.243066983846641e-07
"'market for electricity, high voltage' (kilowatt hour, AZ, None)",0.893221473292578,0.33108167664396215,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.8535441620221327,0.3163748753265687
"'market group for electricity, high voltage' (kilowatt hour, GLO, None)",0.9702549542143915,0.43319714882862054,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.9271557800665191,0.4139543309727263
"'market for natural gas, high pressure' (cubic meter, MX, None)",0.07229958682083434,0.029165058423490552,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.06908800571045144,0.027869533029296956
"'market for natural gas, high pressure' (cubic meter, US, None)",0.2953236175575242,0.13774065187343226,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.2822052057753372,0.13162214836407243
"'market group for electricity, medium voltage' (kilowatt hour, IN, None)",0.2276283010377405,0.07679984764068162,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.21751694654808118,0.07338836286173928
"'market for chlorine, liquid' (kilogram, RoW, None)",0.06886728007731194,0.022079220218279384,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.06580816362111654,0.021098451036835372
"'market for natural gas, high pressure' (cubic meter, CN, None)",0.011316482018337837,6.58685837352208e-08,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.010813798649259325,6.294267075848509e-08
"'market for natural gas, high pressure' (cubic meter, DE, None)",0.08244743021863314,0.03264774090766485,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.07878507720759946,0.03119751314556764
"'market for natural gas, high pressure' (cubic meter, ID, None)",0.007985733489632451,9.8699523515999e-09,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.007631003511833116,9.431524499842894e-09
"'market for electricity, medium voltage' (kilowatt hour, DK, None)",0.09851001435122342,1.8985284980328904e-06,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.09413415391846686,1.814194983417991e-06
"'market for electricity, high voltage' (kilowatt hour, BG, None)",0.12072325628129477,0.03905634103410012,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.11536067336062455,0.037321440288171616
"'market for electricity, high voltage' (kilowatt hour, IN-Eastern grid, None)",0.3383859667147442,0.1550132269039821,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.3233547054516223,0.14812746761716877
"'market for electricity, high voltage' (kilowatt hour, DO, None)",0.36513174572277335,0.10019895684559807,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.34891242457685406,0.0957480728055158
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",0.03991939243135217,0.01504140820764516,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.03814615454289513,0.014373261893158741
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.18604389992084336,4.299245022442474e-06,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.1777797437761008,4.108270568643727e-06
"'market for electricity, high voltage' (kilowatt hour, RS, None)",0.13272396796533315,0.056991353623275745,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.1268283078771389,0.054459771316930944
"'market for electricity, high voltage' (kilowatt hour, VN, None)",0.6047322457933468,0.24394504699072603,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.5778697595354078,0.23310889509364327
"'market for electricity, high voltage' (kilowatt hour, CN-SWG, None)",0.12010241337657558,0.03751322743105044,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.1147674085850896,0.035846872505598204
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.9417817816711107,1.5088863898907077e-05,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.8999473990263942,1.4418609580649977e-05
"'market for electricity, high voltage' (kilowatt hour, EG, None)",0.15492135445578298,0.05458649056955898,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.14803967618564173,0.05216173339314907
"'market group for heat, district or industrial, other than natural gas' (megajoule, GLO, None)",0.052094380469423385,0.024918023305526716,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.04978032397713251,0.023811153177009617
"'market for sodium hypochlorite, without water, in 15% solution state' (kilogram, RoW, None)",0.047823568918730075,2.203298397129089e-06,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.04569922385226244,2.105426862533851e-06
"'market group for electricity, medium voltage' (kilowatt hour, CN-SGCC, None)",0.058360915573801006,0.02377834713896252,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.055768496691713305,0.022722101953262328
"'market for n-olefins' (kilogram, GLO, None)",0.009592568895980947,2.176117633979691e-07,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.00916646254570923,2.0794534814641424e-07
"'market for electricity, medium voltage' (kilowatt hour, BG, None)",0.16553584785652192,2.085668987029237e-06,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.15818266887661073,1.993022605275306e-06
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, UN-OCEANIA, None)",0.9381478860851523,1.374915687728611e-06,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.8964749227643095,1.3138412965011652e-06
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, IAI Area, Gulf Cooperation Council, None)",0.2510697352787652,5.538758407939215e-07,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.23991710143027192,5.292724195849e-07
"'market for electricity, high voltage' (kilowatt hour, IN-Northern grid, None)",0.1708511223204098,0.0682504856273417,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.16326183638864253,0.06521876746609676
"'market for electricity, high voltage' (kilowatt hour, CL, None)",0.12168680314273815,0.05288161510391762,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.11628141902450578,0.05053258928479163
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, IAI Area, Asia, without China and GCC, None)",1.1195625451546731,8.030409547006877e-06,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,1.0698310587103437,7.673695038060696e-06
"'market for electricity, high voltage' (kilowatt hour, BR-South-eastern/Mid-western grid, None)",0.09995842537023947,0.046181725828422004,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.09551822584962243,0.044130312191951515
"'market for electricity, high voltage' (kilowatt hour, FI, None)",0.06700964820820232,0.033291551747008714,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.06403304861943607,0.03181272560944056
"'market for natural gas, high pressure' (cubic meter, TR, None)",0.048197995476866144,0.017945495809880908,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.04605701820938309,0.017148348579948732
"'market group for electricity, high voltage' (kilowatt hour, RNA, None)",0.38388304515900556,1.6453963064990633e-05,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.36683078261310603,1.5723070409941127e-05
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",0.0848681731500513,0.04488491686325308,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.08109828961756524,0.042891108081242295
"'market for natural gas, high pressure' (cubic meter, CA, None)",0.02348642916643371,2.0438290453966537e-06,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.02244315111218723,1.9530412132156225e-06
"'market for electricity, medium voltage' (kilowatt hour, US-SERC, None)",1.0667029264351497,4.637502065183925e-05,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,1.0193194887203705,4.431502076984622e-05
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, IAI Area, Africa, None)",0.782790868116298,3.2726248405640504e-06,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.7480189354404937,3.127253330414609e-06
"'market for electricity, medium voltage' (kilowatt hour, SG, None)",1.141547383815039,1.1383360014971701e-05,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,1.0908393206617524,1.087770589432829e-05
"'market group for heat, district or industrial, natural gas' (megajoule, RER, None)",0.028540652592048587,8.064876016508881e-08,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.027272863593893342,7.706630491034645e-08
"'market for electricity, high voltage' (kilowatt hour, CZ, None)",0.10480533843931213,0.03385435425509054,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.10014983679677733,0.03235052816962074
"'market for electricity, high voltage' (kilowatt hour, PK, None)",0.6466930978428763,0.31220052539052295,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.617966691115353,0.2983324335509319
"'market for electricity, high voltage' (kilowatt hour, LB, None)",0.810498469463699,0.3127140483637442,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.7744957523116036,0.298823145595999
"'market for titanium dioxide' (kilogram, RER, None)",0.018041313033886296,9.118197191651886e-09,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.017239909558514885,8.713162652048999e-09
"'market for electricity, high voltage' (kilowatt hour, TH, None)",0.9206802153023147,0.3654229324622219,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.879783174002542,0.3491906766665608
"'market group for electricity, medium voltage' (kilowatt hour, RME, None)",0.2628316704297916,0.12333589991304936,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.2511565659778882,0.11785726215299674
"'market for natural gas, high pressure' (cubic meter, RoW, None)",0.40218979684212847,0.2541668884602949,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.38432433991320036,0.2428766776339634
"'market for nitrogen, liquid' (kilogram, RoW, None)",0.8479267367853204,1.5662915274501961e-06,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.8102614386751573,1.4967161328441751e-06
"'market for electricity, medium voltage' (kilowatt hour, BE, None)",0.11823567088738045,1.906965759914048e-06,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.11298358766128468,1.822257458221208e-06
"'market group for electricity, high voltage' (kilowatt hour, US, None)",0.02374792396166541,0.008689268047412926,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.022693030187582102,0.00830328673892662
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",0.14235763075484167,0.061144520275441476,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.13603403890660493,0.05842845238411787
"'market for chlorine, gaseous' (kilogram, RoW, None)",0.02050102022963358,0.006600506526980689,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.01959035542215372,0.006307308972013452
"'market for electricity, high voltage' (kilowatt hour, KR, None)",0.732310165759678,0.24578335325719475,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.6997806092475042,0.234865542944897
"'market for ethylene glycol' (kilogram, GLO, None)",0.003382253295529125,1.93749076066507e-10,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.0032320120386686996,1.8514265243103991e-10
"'market for electricity, high voltage' (kilowatt hour, BE, None)",0.06180768003901207,0.02101094866466665,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.05906215428404773,0.02007763260008268
"'market for natural gas, high pressure' (cubic meter, KZ, None)",0.000801591840661331,2.233837566109681e-10,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.0007659847600830622,2.1346094674932973e-10
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",0.06212507457592627,0.03616949910666677,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.05936545000872641,0.03456283321532715
"'market group for electricity, high voltage' (kilowatt hour, RAS, None)",0.14672028333219908,0.052565751452632356,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.14020290043722614,0.05023075644309369
"'market group for electricity, medium voltage' (kilowatt hour, Canada without Quebec, None)",0.2738222115686525,0.09243860224183842,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.2616589021923984,0.0883324367451286
"'market for natural gas, high pressure' (cubic meter, QA, None)",0.025120512320198428,1.0069888303338429e-07,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.024004647535927744,9.622579204065015e-08
"'market for ammonia, anhydrous, liquid' (kilogram, RER, None)",0.04829708568904891,0.013925306365542015,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.04615170678847689,0.013306737811468593
"'market group for electricity, medium voltage' (kilowatt hour, RAF, None)",0.39951323527380406,0.14784548736977718,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.38176667244858514,0.1412781223906553
"'market for natural gas, high pressure' (cubic meter, SA, None)",0.0030054102226223733,2.17934105645263e-09,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.002871908509481957,2.082533718018875e-09
"'market for electricity, medium voltage' (kilowatt hour, FI, None)",0.12411986316537735,3.649618394283203e-06,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.11860640139479962,3.487500655986416e-06
"'market for ammonia, anhydrous, liquid' (kilogram, CN, None)",0.04201715835023308,2.728916895996794e-07,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.0401507367287102,2.607697144399784e-07
"'market for electricity, high voltage' (kilowatt hour, AU, None)",0.9435601349836115,0.45613405809316454,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.9016467570616444,0.4358723721114106
"'market for electricity, high voltage' (kilowatt hour, IT, None)",0.08310395173130726,0.03508946157260546,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.07941243573081017,0.033530771448423285
"'market for electricity, high voltage' (kilowatt hour, US-NPCC, None)",0.35677563909602567,0.1575710517037914,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.34092750007408323,0.15057167265548355
"'market for electricity, high voltage' (kilowatt hour, CN-CSG, None)",0.3728662036736042,0.16017710674302726,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.3563033143256218,0.15306196552366622
"'market for electricity, medium voltage' (kilowatt hour, AT, None)",0.11914287387157145,3.1654694880431367e-06,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.11385049226901979,3.024857868249437e-06
"'market for electricity, high voltage' (kilowatt hour, TW, None)",0.6086082413509679,0.18069601874202262,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.5815735815763581,0.1726694179545055
"'market group for electricity, low voltage' (kilowatt hour, RAS, None)",0.0639965664283963,0.022863127180130643,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.06115380932689134,0.021847536488610535
"'market for electricity, high voltage' (kilowatt hour, GR, None)",0.2159954085385848,0.07236815815886258,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.20640079251801222,0.0691535310779063
"'market for electricity, high voltage' (kilowatt hour, US-TRE, None)",0.6347108236899578,0.2500674473829123,_casting__aluminium__lost_wax___kilogram__RoW__None_,104.64853642445935,0.6065166751262924,0.2389593356266609
