names,mu_star,mu_star_conf,reference_product,score,mu_star_local_relative,mu_star_local_relative_conf
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, IAI Area, Asia, without China and GCC, None)",0.00017325432265575361,1.3434892910449957e-09,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,0.08483322328141941,0.20422932897529147,1.5836829476444676e-06
"'market for electricity, high voltage' (kilowatt hour, DO, None)",7.160806639085106e-05,2.302514321616628e-05,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,0.08483322328141941,0.08441040387361423,0.027141657861784154
"'market for electricity, high voltage' (kilowatt hour, SG, None)",8.258617572251339e-05,2.698160572396789e-05,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,0.08483322328141941,0.09735121751598211,0.031805470404514896
"'market for electricity, low voltage' (kilowatt hour, IT, None)",3.365827967612232e-05,1.1975531063119561e-05,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,0.08483322328141941,0.03967582319071721,0.01411655787661495
"'market for electricity, medium voltage' (kilowatt hour, IT, None)",5.2852661565780214e-05,8.882857977975651e-10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,0.08483322328141941,0.06230184298249606,1.0470966013525526e-06
"'market for electricity, high voltage' (kilowatt hour, SY, None)",0.0008825372305647023,0.0003624472168369634,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,0.08483322328141941,1.0403202854111047,0.42724678235389923
"'market for electricity, low voltage' (kilowatt hour, NG, None)",1.2713144652349432e-05,6.6043155098869314e-06,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,0.08483322328141941,0.014986044571447902,0.007785057851660625
"'market for natural gas, high pressure' (cubic meter, RoW, None)",2.5322836653765564e-05,1.2543438273767205e-05,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,0.08483322328141941,0.02985014086964664,0.014785997500244142
"'market for electricity, high voltage' (kilowatt hour, CN-NECG, None)",3.057661382038465e-05,8.305457514071652e-06,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,0.08483322328141941,0.03604320646753227,0.009790335900027924
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",2.4345213006028015e-06,9.195190632801023e-07,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,0.08483322328141941,0.002869773428892006,0.0010839138579348308
"'market group for electricity, low voltage' (kilowatt hour, CN, None)",1.1348019809538645e-05,8.348348696117239e-07,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,0.08483322328141941,0.013376857993351933,0.0009840895315769212
"'market for electricity, high voltage' (kilowatt hour, US-MRO, None)",6.80471653790383e-05,3.588621251889417e-05,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,0.08483322328141941,0.08021287267761087,0.04230207356361778
"'market for electricity, low voltage' (kilowatt hour, CN-NCGC, None)",1.5439718632770383e-07,2.0109626127666432e-07,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,0.08483322328141941,0.00018200084867165555,0.00023704894556412476
"'market group for electricity, low voltage' (kilowatt hour, CN-SGCC, None)",3.1877306151660915e-06,2.3033334734922695e-06,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,0.08483322328141941,0.003757644106709645,0.002715131388856183
"'market for electricity, medium voltage' (kilowatt hour, DE, None)",0.0001004499558686981,8.410928890895506e-09,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,0.08483322328141941,0.11840874598796383,9.91466381395614e-06
