names,mu_star,mu_star_conf,score,mu_star_local_relative,mu_star_local_relative_conf
"'market for stone wool' (kilogram, GLO, None)",0.0003490649316506778,3.1809379353450865e-11,4.742176167859339,0.007360859641118074,6.707759945537811e-10
"'market for electricity, high voltage' (kilowatt hour, US-TRE, None)",0.0032556744476566635,0.000829629969643384,4.742176167859339,0.06865359557332314,0.01749471002925407
"'market for light fuel oil' (kilogram, RoW, None)",0.03629071295170814,0.010807844341755737,4.742176167859339,0.7652755120670706,0.22790895907678807
"'market for hard coal' (kilogram, RNA, None)",0.028942543514935415,0.00425428204308433,4.742176167859339,0.6103219806783421,0.08971159848337629
"'market for sawnwood, board, softwood, raw, dried (u=10%)' (cubic meter, RoW, None)",0.00018065800701272394,9.715620737790777e-12,4.742176167859339,0.003809601343728118,2.0487684121985067e-10
"'market for electricity, low voltage' (kilowatt hour, CN-ECGC, None)",0.00012316667163476678,5.816792314596183e-05,4.742176167859339,0.002597260567195785,0.0012266082297870296
"'market for electricity, high voltage' (kilowatt hour, US-WECC, None)",0.0031208520256969853,0.001206015747733766,4.742176167859339,0.06581054594405264,0.025431694332818774
"'market group for electricity, medium voltage' (kilowatt hour, RAF, None)",0.004332024771556741,0.0012731567718684564,4.742176167859339,0.09135098777893474,0.026847521618817694
"'market for concrete mixing factory' (unit, GLO, None)",1.9526801688662943e-05,2.2348207760029927e-07,4.742176167859339,0.00041176879553754574,4.712648153288264e-06
"'market for blasting' (kilogram, GLO, None)",1.5860646129794985e-13,8.304678822171082e-14,4.742176167859339,3.3445923492451413e-12,1.7512379397579168e-12
"'market for electricity, medium voltage' (kilowatt hour, IT, None)",0.007206775298440759,1.4633638989131088e-07,4.742176167859339,0.1519719015772871,3.0858488742599466e-06
"'market for sand' (kilogram, RoW, None)",0.0007954087990069247,0.00012100238246024584,4.742176167859339,0.01677307571148247,0.002551621411291167
"'market for transport, freight train' (ton kilometer, CN, None)",0.015050836085587438,0.006648588109056851,4.742176167859339,0.3173824748982601,0.14020120454652119
"'market for electricity, high voltage' (kilowatt hour, MY, None)",0.003908915461961793,0.0016580736849301902,4.742176167859339,0.08242872730994119,0.03496440507984459
"'market for polystyrene, expandable' (kilogram, GLO, None)",8.27261438100857e-05,2.320817047422389e-13,4.742176167859339,0.00174447639399759,4.893991630154952e-12
"'market for phenol' (kilogram, RoW, None)",0.0014705882002937765,5.3663733155690113e-05,4.742176167859339,0.03101083022307063,0.0011316267311915242
"'market for natural gas, high pressure' (cubic meter, DE, None)",0.006170211840511784,0.0033025745131625797,4.742176167859339,0.13011350953874568,0.06964259437568283
"'market for electricity, high voltage' (kilowatt hour, RU, None)",0.016342354856162998,0.005809180428872745,4.742176167859339,0.3446172026869277,0.12250030836570676
"'market for sheet rolling, steel' (kilogram, GLO, None)",0.07879828122705927,5.5583765587420305e-08,4.742176167859339,1.6616481218290449,1.1721151559941166e-06
"'market group for heat, district or industrial, other than natural gas' (megajoule, GLO, None)",0.013010913212454355,0.009029506578198222,4.742176167859339,0.2743658765913709,0.19040850146809757
"'market for waste wood, untreated' (kilogram, CH, None)",0.22849900605018733,0.051820879990611364,4.742176167859339,4.818441954958705,1.0927658137593774
"'market group for electricity, medium voltage' (kilowatt hour, RLA, None)",0.009519577278673079,0.003520586929417171,4.742176167859339,0.20074280123107074,0.07423990178345474
"'market for electricity, high voltage' (kilowatt hour, CN-NWG, None)",0.0032450838243593275,0.0011568367441240303,4.742176167859339,0.06843026723370735,0.024394638730729334
"'market for waste wood, untreated' (kilogram, IN, None)",0.0010754896614834752,0.0003833180064150564,4.742176167859339,0.02267924310304484,0.00808316673288183
"'market group for electricity, low voltage' (kilowatt hour, CN-SGCC, None)",0.0025070218674131837,0.0013164353361354506,4.742176167859339,0.05286648531543012,0.027760152502510287
"'market for iron scrap, sorted, pressed' (kilogram, RoW, None)",0.024202675697166432,0.005533992669098993,4.742176167859339,0.5103706576993688,0.1166973236170829
"'market for copper, cathode' (kilogram, GLO, None)",0.026010325753269833,0.012112649066745257,4.742176167859339,0.5484892343215315,0.25542385263626793
"'market for maintenance, light commercial vehicle' (unit, GLO, None)",0.0004440265707917446,1.7606669680483745e-08,4.742176167859339,0.009363350391771342,3.712782709300223e-07
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.007982303829547987,3.0683173138604213e-07,4.742176167859339,0.16832575482220585,6.470272729757081e-06
"'market for aluminium, primary, liquid' (kilogram, GLO, None)",0.0014422614630617892,0.0007313545438173704,4.742176167859339,0.0304134939742831,0.01542234024906566
"'market for pitch' (kilogram, RoW, None)",0.0013707927147084576,1.1556367650660777e-08,4.742176167859339,0.028906406387834507,2.436933433427765e-07
"'market for electricity, high voltage' (kilowatt hour, PK, None)",0.0027789738757695087,0.0011643099725245649,4.742176167859339,0.058601236592692056,0.02455222942614013
"'market for electricity, high voltage' (kilowatt hour, AU, None)",0.007886044118202064,0.003758241773416306,4.742176167859339,0.1662958911491029,0.07925141623561426
"'market for steel, chromium steel 18/8' (kilogram, GLO, None)",0.003849663450355023,7.133846252226335e-09,4.742176167859339,0.08117925851103074,1.504340201567547e-07
"'market group for electricity, low voltage' (kilowatt hour, RAS, None)",0.0016336737629399477,0.000704984165526799,4.742176167859339,0.03444987501755767,0.01486625845545159
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",0.006717623309513248,0.003426540322534024,4.742176167859339,0.14165697502009178,0.07225670665206003
"'market for electricity, medium voltage' (kilowatt hour, US-RFC, None)",0.005456785237302952,1.7423436973804904e-07,4.742176167859339,0.11506922231795101,3.674143759545315e-06
"'market group for electricity, high voltage' (kilowatt hour, RNA, None)",0.003508738266710898,5.587516642459673e-07,4.742176167859339,0.07399004470757092,1.1782600318245724e-05
"'market group for electricity, medium voltage' (kilowatt hour, Europe without Switzerland, None)",0.02406484225085928,0.013161627332398725,4.742176167859339,0.507464113500498,0.2775440402573657
"'market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",0.06310115804666294,0.017000926708433138,4.742176167859339,1.330637155033137,0.3585047477497554
"'market for bitumen adhesive compound, hot' (kilogram, GLO, None)",0.0004238107024380211,7.889519535828399e-08,4.742176167859339,0.008937050995921417,1.6636917854930301e-06
"'market for electricity, high voltage' (kilowatt hour, TH, None)",0.003734309815757863,0.0020676329988676048,4.742176167859339,0.07874675430802404,0.04360093184393344
"'market for natural gas, high pressure' (cubic meter, RU, None)",0.00012103788226085488,2.5045412689285835e-10,4.742176167859339,0.002552370008545939,5.281417602963401e-09
"'market for benzene' (kilogram, GLO, None)",0.004308788063940616,0.0016390205047257147,4.742176167859339,0.0908609868427904,0.03456262371344132
"'market group for electricity, high voltage' (kilowatt hour, IN, None)",0.00035097071801679645,0.00012625835696463282,4.742176167859339,0.00740104765393454,0.0026624560643774436
"'market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",0.05717641750129746,0.019564696170709325,4.742176167859339,1.2056999883053146,0.41256789031397384
"'market for waste wood, untreated' (kilogram, RoW, None)",0.024764388239245375,0.011547999116472401,4.742176167859339,0.5222156951293575,0.24351687300738287
"'market for maintenance, lorry 40 metric ton' (unit, GLO, None)",0.0005007865131078538,1.6196919706941998e-10,4.742176167859339,0.010560268015810838,3.4155035860368368e-09
"'market for synthetic rubber' (kilogram, GLO, None)",0.0019153240648072112,4.443398703054671e-09,4.742176167859339,0.04038913775048146,9.369957052988314e-08
"'market for electricity, high voltage' (kilowatt hour, US-MRO, None)",0.002175966455131983,0.0009281353392184754,4.742176167859339,0.04588539898369558,0.01957192871722107
"'market for waste reinforced concrete' (kilogram, Europe without Switzerland, None)",0.0008054341435691726,0.0001111526770523932,4.742176167859339,0.016984483812054432,0.002343917077685634
"'market for natural gas, liquefied' (cubic meter, GLO, None)",0.0002646302483218621,0.00020409427141599083,4.742176167859339,0.005580354650580571,0.004303810406691847
"'market for concrete, 30MPa' (cubic meter, CH, None)",0.03208409350330985,0.008744582750151362,4.742176167859339,0.6765689921172393,0.1844002086936122
"'market for iron scrap, sorted, pressed' (kilogram, RER, None)",0.007268362517737281,0.003824143227765439,4.742176167859339,0.15327061375322726,0.08064110426103574
"'market for zinc concentrate' (kilogram, GLO, None)",0.018163587238768097,0.005595476765888331,4.742176167859339,0.38302219478630856,0.11799386121106883
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",0.006420840342291978,2.3145257948721988e-08,4.742176167859339,0.1353986042486145,4.880725036237945e-07
"'concrete, all types to generic market for concrete, normal strength' (cubic meter, RNA, None)",0.0023661107856770116,0.0008740852318330295,4.742176167859339,0.0498950418947657,0.01843215437159939
"'market for aluminium, primary, ingot' (kilogram, IAI Area, EU27 & EFTA, None)",0.009210625177286125,0.004068026885312103,4.742176167859339,0.19422781548505577,0.08578396797832263
"'market for petroleum' (kilogram, Europe without Switzerland, None)",0.010157176232108557,0.0036731466809627193,4.742176167859339,0.21418808311994023,0.077456984956778
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, IAI Area, EU27 & EFTA, None)",0.005242124537908954,0.001712558895501213,4.742176167859339,0.11054259378717465,0.0361133546051765
"'market for electricity, high voltage' (kilowatt hour, CA-AB, None)",0.0009988510364835612,0.0004724295128943137,4.742176167859339,0.02106313644046783,0.009962293600483691
"'market for steel, low-alloyed, hot rolled' (kilogram, GLO, None)",0.0002287879185574937,5.34745771426647e-07,4.742176167859339,0.004824534358468817,1.1276379292927788e-05
"'market for diesel, low-sulfur' (kilogram, IN, None)",0.006937550849256691,2.8507300283136064e-08,4.742176167859339,0.14629466733599575,6.011438477622927e-07
"'aluminium ingot, primary, to aluminium, wrought alloy market' (kilogram, GLO, None)",0.0016169274112842302,0.0010350951532154431,4.742176167859339,0.034096738586878055,0.02182742936103731
"'market for silica sand' (kilogram, GLO, None)",0.006045844243058362,0.000881021210668782,4.742176167859339,0.12749092461040964,0.018578415889312753
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",0.11764921558018233,1.6604713254355974e-05,4.742176167859339,2.4809119572057203,0.0003501496500044935
