names,mu_star,mu_star_conf,reference_product,score,mu_star_local_relative,mu_star_local_relative_conf
"'market group for electricity, low voltage' (kilowatt hour, BR, None)",3.0056234687721612e-06,7.939509212607095e-07,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,0.009462328848232343,0.03176409863765876,0.008390650272200458
"'market for electricity, medium voltage' (kilowatt hour, US-WECC, None)",9.519592017230875e-06,2.0708088085147652e-10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,0.009462328848232343,0.10060516993138777,2.1884768979484506e-06
"'market for electricity, high voltage' (kilowatt hour, PH, None)",7.546174131625596e-06,4.0687912485385846e-06,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,0.009462328848232343,0.07974964992931202,0.042999892667001056
"'market for electricity, high voltage' (kilowatt hour, DE, None)",4.966930486379526e-06,2.3358562215090328e-06,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,0.009462328848232343,0.05249162828775918,0.02468584910727758
"'market group for electricity, high voltage' (kilowatt hour, GLO, None)",1.0699962683533882e-06,3.778571423524498e-07,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,0.009462328848232343,0.011307959018495475,0.003993278487917246
"'market for natural gas, high pressure' (cubic meter, US, None)",2.5402733736495065e-06,1.6432524444605438e-06,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,0.009462328848232343,0.0268461751265816,0.017366258040878803
"'market group for electricity, medium voltage' (kilowatt hour, IN, None)",1.512341982949899e-06,5.017700896152793e-07,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,0.009462328848232343,0.01598276710951997,0.005302818129270734
"'market for natural gas, high pressure' (cubic meter, CN, None)",3.008327090603391e-07,2.5095367959404522e-11,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,0.009462328848232343,0.003179267111568815,2.6521344123537396e-07
"'market for electricity, low voltage' (kilowatt hour, CN-NECG, None)",1.9622769986955225e-06,7.398946644498212e-07,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,0.009462328848232343,0.02073778062640568,0.007819371703489685
"'market for electricity, high voltage' (kilowatt hour, IN-Eastern grid, None)",9.598046056322937e-06,3.784001850356843e-06,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,0.009462328848232343,0.10143428970042556,0.03999017484013708
"'market for electricity, low voltage' (kilowatt hour, TR, None)",4.8539822204450015e-05,9.982940025441204e-06,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,0.009462328848232343,0.5129796584222259,0.10550193494179941
"'market for electricity, low voltage' (kilowatt hour, US-RFC, None)",1.7889609868220694e-05,6.10793724215538e-06,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,0.009462328848232343,0.18906138388503219,0.06455004196241186
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",7.851068847774836e-07,4.1102335969511155e-07,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,0.009462328848232343,0.00829718452370369,0.004343786464067932
"'market for electricity, high voltage' (kilowatt hour, VN, None)",3.19253309089247e-05,1.099922824454889e-05,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,0.009462328848232343,0.3373940117806059,0.11624229532673296
