names,mu_star,mu_star_conf,reference_product,score,mu_star_local_relative,mu_star_local_relative_conf,
"transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",70.80998252,7.526053468,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,403.5840144,17.54528921,1.86480465,
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",65.28494025,8.655310085,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,403.5840144,16.17629488,2.144611723,
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",63.83464508,5.885640611,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,403.5840144,15.81694091,1.458343344,
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",40.59594404,4.80250241,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,403.5840144,10.05885828,1.189963487,
"'market for diesel, low-sulfur' (kilogram, RoW, None)",24.14293907,2.146258498,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,403.5840144,5.982134625,0.53179968,
"'market for chemical, organic' (kilogram, GLO, None)",20.82137004,2.632290043,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,403.5840144,5.159116638,0.65222852,
"'market for diesel, low-sulfur' (kilogram, IN, None)",6.287776995,1.57E-05,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,403.5840144,1.55798465,3.89E-06,
"'market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",3.220000093,0.451304797,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,403.5840144,0.797851247,0.11182425,
"'market for diesel, low-sulfur' (kilogram, ZA, None)",2.924718305,0.274711523,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,403.5840144,0.72468636,0.068067989,
"'market for heavy fuel oil' (kilogram, RoW, None)",1.439177998,0.120758837,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,403.5840144,0.356599356,0.029921611,
"'market for diesel' (kilogram, RoW, None)",0.955778115,0.08523072,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,403.5840144,0.23682259,0.021118458,
"'market for transport, freight train' (ton kilometer, RoW, None)",0.81236138,0.043931258,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,403.5840144,0.201286808,0.010885282,
"'market group for transport, freight, lorry, unspecified' (ton kilometer, GLO, None)",0.803212788,0.097236475,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,403.5840144,0.199019971,0.024093242,
"'market group for diesel' (kilogram, GLO, None)",0.630517544,0.13309877,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,403.5840144,0.156229563,0.032979198,
