names,mu_star,mu_star_conf,reference_product,score,mu_star_local_relative,mu_star_local_relative_conf
"'market for electricity, medium voltage' (kilowatt hour, US-WECC, None)",1.4472279337818237,4.928758146176021e-05,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.017617379896683598,5.999870694393829e-07
"'aluminium ingot, primary, to aluminium, wrought alloy market' (kilogram, GLO, None)",31.805771488541996,13.492597955388394,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.3871776837229188,0.16424795184275978
"'market for electricity, high voltage' (kilowatt hour, DE, None)",9.073356246415528,2.182193526472102,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.11045168504545147,0.026564255337085275
"'market for natural gas, high pressure' (cubic meter, US, None)",1.3218931609312676,0.8911125909337239,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.016091655955049352,0.010847682440853252
"'market group for electricity, medium voltage' (kilowatt hour, IN, None)",3.155870545351854,0.7888105178401743,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.038417010205801724,0.009602339918201903
"'market for iron pellet' (kilogram, GLO, None)",4.260728786724849,0.00013093874472296498,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.05186665895559168,1.5939421532248487e-06
"'market group for electricity, high voltage' (kilowatt hour, GLO, None)",1.1712190681838137,0.3802974165440039,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.014257471670350347,0.004629432520332402
"'market for natural gas, high pressure' (cubic meter, DE, None)",5.919802089257746,1.5604165332256237,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.07206287267210626,0.018995246167661472
"'market for aluminium, primary, ingot' (kilogram, IAI Area, North America, None)",98.03924983821159,44.86887111018734,_market_for_helicopter___unit__GLO__None_,8214.773946347485,1.193450367332415,0.5461972709564001
"'market for aluminium, primary, liquid' (kilogram, GLO, None)",12.796627868719337,4.422627538965991,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.15577577608704707,0.05383748314745062
"'market for electricity, high voltage' (kilowatt hour, IN-Eastern grid, None)",2.2359499046692908,1.6300004902925864,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.027218641916049998,0.019842304863633278
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",1.9616059322413304,0.555087993316201,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.023879000749783438,0.006757191335289371
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",3.5374779543982413,0.00010263614546251674,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.04306238951311742,1.249409248907593e-06
"'market for electricity, high voltage' (kilowatt hour, CN-SWG, None)",3.823528976003764,1.7042724678480867,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.046544542807581586,0.020746431721421297
"'market group for heat, district or industrial, other than natural gas' (megajoule, GLO, None)",0.8560334467087387,0.14597851100462308,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.010420657370484976,0.0017770240783013776
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, UN-OCEANIA, None)",252.45452961417587,0.00039485326460449464,_market_for_helicopter___unit__GLO__None_,8214.773946347485,3.073176830707851,4.806623617197127e-06
"'market group for electricity, medium voltage' (kilowatt hour, CN-SGCC, None)",1.691785968857721,0.8518838963409019,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.020594431202941813,0.010370144107491515
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, IAI Area, Gulf Cooperation Council, None)",69.60779303471202,0.00017837315655827164,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.847348855724284,2.1713702376141616e-06
"'market for electricity, high voltage' (kilowatt hour, IN-Northern grid, None)",1.3534500976069015,0.4190091597814897,_market_for_helicopter___unit__GLO__None_,8214.773946347485,0.016475804525438984,0.005100677906880113
