names,mu_star,mu_star_conf,reference_product,score,mu_star_local_relative,mu_star_local_relative_conf
"'market group for electricity, low voltage' (kilowatt hour, BR, None)",0.0011847008437246842,0.00035597338547449536,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,3.183927743372436,0.03720878547544681,0.011180322361758315
"'market for electricity, medium voltage' (kilowatt hour, GB, None)",0.0010856609625785828,8.336360504910729e-08,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,3.183927743372436,0.03409816585311839,2.6182630941494943e-06
"'market for electricity, medium voltage' (kilowatt hour, US-WECC, None)",0.0047284944125345115,1.1291958191129678e-07,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,3.183927743372436,0.1485113606104032,3.546549765343973e-06
"'market for electricity, high voltage' (kilowatt hour, PH, None)",0.003928443361865908,0.0013615738364769138,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,3.183927743372436,0.12338355887765458,0.042763967847923794
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",0.0046115785525264515,0.001984590544573943,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,3.183927743372436,0.14483929674992685,0.06233151957374047
"'market for electricity, high voltage' (kilowatt hour, DE, None)",0.002085803296827461,0.0008621113154069486,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,3.183927743372436,0.06551038418410103,0.027076974884291657
"'market for explosive, tovex' (kilogram, GLO, None)",0.001976804250372055,2.707339243898047e-07,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,3.183927743372436,0.06208696960811717,8.503142854085052e-06
"'market group for electricity, high voltage' (kilowatt hour, GLO, None)",0.000882266425275291,0.0003493275671772166,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,3.183927743372436,0.027710001494593874,0.010971592175870383
"'market for natural gas, high pressure' (cubic meter, MX, None)",0.005678525550116653,0.0024886946567093155,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,3.183927743372436,0.17834969910786744,0.07816429445956191
"'market for ammonium nitrate' (kilogram, RoW, None)",0.022899651719183022,3.8742006170913526e-07,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,3.183927743372436,0.7192264889443619,1.2167991642259368e-05
