names,mu_star,mu_star_conf,reference_product,score,mu_star_local_relative,mu_star_local_relative_conf
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",2.407619304043012e-05,1.0408970259299663e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.05439208860264041,0.02351557954595806
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",8.489458970689431e-05,4.6793736956572404e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.19179087148321466,0.10571476488481692
"'market for waste mineral oil' (kilogram, RoW, None)",0.0007038571411570917,0.00027229421096866953,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,1.5901292999739864,0.6151575053465904
"'market for oxygen, liquid' (kilogram, RoW, None)",0.00012946868821643102,2.48607223079409e-09,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.29249110724898625,5.616446953338613e-06
"'market for electricity, low voltage' (kilowatt hour, PH, None)",0.022996074017105465,0.009426095875930043,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,51.9519216908942,21.295104304887683
"'market for explosive, tovex' (kilogram, GLO, None)",3.380792421603038e-05,3.1465885498562986e-06,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.07637767342792601,0.007108662192250807
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",2.4647893394895426e-05,9.049480334362233e-06,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.05568365393782525,0.020444267718235952
"'market for electricity, high voltage' (kilowatt hour, US-RFC, None)",5.113856446886874e-05,1.780183945850828e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.11553044640120792,0.040217289647544056
"'market group for heat, district or industrial, natural gas' (megajoule, RER, None)",4.172928870842738e-05,1.619914371940606e-10,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.09427334150970054,3.659653579755064e-07
"'market group for electricity, high voltage' (kilowatt hour, GLO, None)",8.293820966091546e-05,3.791681426269708e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.18737108648553552,0.08566033331944223
"'market for ammonia, anhydrous, liquid' (kilogram, RoW, None)",4.494676247817908e-05,4.122210622389548e-06,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.10154214509783956,0.009312753267729746
"'market group for electricity, high voltage' (kilowatt hour, CN-SGCC, None)",1.207133263218807e-05,3.8890587946975375e-06,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.02727113015663826,0.00878602485811799
"'market for electricity, high voltage' (kilowatt hour, PH, None)",0.01166446556398283,0.004955005918680235,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,26.35195038489638,11.194175113269825
"'market for natural gas, high pressure' (cubic meter, NG, None)",8.52025578382265e-08,1.6470532063020386e-17,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.00019248662225486202,3.720964679922794e-14
"'market group for electricity, medium voltage' (kilowatt hour, IN, None)",3.942977076577051e-05,9.294325848669056e-06,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.08907835144335907,0.02099741409340299
"'market for natural gas, high pressure' (cubic meter, KW, None)",8.290656594370228e-08,1.9544567909952184e-17,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.00018729959811245736,4.415440047657344e-14
"'market group for electricity, high voltage' (kilowatt hour, IN, None)",3.4661834183859206e-06,1.4503629911249672e-06,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.00783067967968419,0.0032766090630186465
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",4.5715296555775466e-05,2.1666192377446637e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.10327839025805133,0.04894749986000596
"'market for electricity, high voltage' (kilowatt hour, US-SERC, None)",6.129836436624054e-05,2.3589652344367276e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.13848310902835023,0.053292912972813855
"'market group for electricity, high voltage' (kilowatt hour, RME, None)",8.037268734359392e-06,2.7198064151817943e-06,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.018157514869082382,0.006144491002716893
"'market group for electricity, high voltage' (kilowatt hour, RAS, None)",9.823755842088561e-05,5.431429387518243e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.22193483715482018,0.12270494259153832
"'market group for electricity, high voltage' (kilowatt hour, RLA, None)",1.7177813026177095e-05,8.768826887358516e-06,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.0388075110774541,0.019810225320817547
"'market for electricity, medium voltage' (kilowatt hour, PH, None)",0.020985514139555864,2.3578500435722196e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,47.40973552313293,0.05326771897299448
"'market for natural gas, high pressure' (cubic meter, VE, None)",1.185779311990709e-07,2.5876510612752815e-17,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.0002678870920027496,5.84593027482584e-14
"'market group for electricity, medium voltage' (kilowatt hour, RME, None)",3.183329283499362e-05,9.539888839996191e-06,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.0719166556559491,0.021552181367422003
"'market for polyethylene, high density, granulate' (kilogram, GLO, None)",0.001110544462872929,0.00026007484662298505,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,2.508902994768351,0.5875519471488172
"'market for electricity, high voltage' (kilowatt hour, ID, None)",0.00011034554742037352,5.3600910660328737e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.24928878008732697,0.12109329232088302
"'market for natural gas, high pressure' (cubic meter, AE, None)",2.8658875795214975e-07,1.927218336123744e-17,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.0006474512431794123,4.3539038883367924e-14
"'market group for electricity, high voltage' (kilowatt hour, US, None)",3.2906478858208545e-05,1.4058790108625224e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.07434115977766795,0.03176112419227416
"'market group for electricity, high voltage' (kilowatt hour, RNA, None)",0.00014773289724436534,8.640144695685336e-09,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.33375296596711196,1.9519511038899475e-05
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",0.0021778460591624464,3.9613200416583635e-07,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,4.920113226121517,0.0008949274925960124
"'market group for electricity, medium voltage' (kilowatt hour, GLO, None)",0.00025270808694678737,9.595652302750385e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.5709092227633948,0.21678160221380466
"'market for electricity, high voltage' (kilowatt hour, KR, None)",7.843242659047388e-05,3.5689139018277125e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.1771917798326862,0.0806276477503854
"'market for electricity, high voltage' (kilowatt hour, US-WECC, None)",6.899222789584425e-05,3.339328024155733e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.15586481493576193,0.07544092434304303
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",1.9846801783152135e-05,9.434288270625247e-06,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.044837196613911494,0.02131361227487202
"'market for electricity, medium voltage' (kilowatt hour, US-RFC, None)",0.00013518547567631102,5.066545320164166e-09,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.3054062724297146,1.1446161006471944e-05
"'market group for heat, district or industrial, natural gas' (megajoule, GLO, None)",0.00014511426412562866,9.899858336131095e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.3278370421176498,0.22365411793641732
"'market group for electricity, medium voltage' (kilowatt hour, CN-SGCC, None)",3.516350340715957e-05,1.531362178655936e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.07944015026336168,0.03459599578899958
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",2.1793964448705448e-05,1.1613335353819216e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.049236158029891106,0.0262364388122478
"'market group for electricity, medium voltage' (kilowatt hour, RNA, None)",0.0006146740868254924,5.449673165273641e-08,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,1.3886500800278507,0.00012311709960259574
"'market for electricity, high voltage' (kilowatt hour, CL, None)",4.5732218324801e-05,1.7492806214677718e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.10331661932352712,0.039519132611198375
"'market for electricity, high voltage' (kilowatt hour, IN-Eastern grid, None)",2.8445429355106898e-05,1.040439277348158e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.06426291362695778,0.023505238250979384
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",0.0005115439787740927,0.00015030349978365425,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,1.155662166809516,0.33956038082063056
"'market group for electricity, high voltage' (kilowatt hour, RAF, None)",1.3959475022078817e-05,6.404271886921613e-06,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.03153675504147279,0.014468305820770093
"'market for electricity, high voltage' (kilowatt hour, JP, None)",4.755342488743374e-05,2.5393284470129997e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.10743102514142716,0.05736761524099695
"'market for irrigation' (cubic meter, PH, None)",0.06460301507099962,0.03266877891706316,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,145.94885968220953,73.8041564300909
"'market for electricity, high voltage' (kilowatt hour, CN-NWG, None)",2.4986005489804884e-05,9.525610578070533e-06,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.056447504891880024,0.0215199244202191
"'market for natural gas, high pressure' (cubic meter, QA, None)",1.9101123387987862e-07,1.607582590117533e-17,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.00043152586207659103,3.6317940519458856e-14
"'market for electricity, high voltage' (kilowatt hour, US-MRO, None)",0.00010420511973662991,4.876393412914663e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.23541654181147362,0.11016576504897801
"'market for polyethylene, low density, granulate' (kilogram, GLO, None)",0.0014533275899562778,4.760213571286395e-09,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,3.283306580438994,1.0754107092517123e-05
"'market for electricity, high voltage' (kilowatt hour, IR, None)",2.8679661141935843e-05,1.1679928881226295e-05,_market_for_irrigation___cubic_meter__PH__None_,0.044264145133896114,0.06479208184227157,0.026386884567397118
