names,mu_star,mu_star_conf,reference_product,score,mu_star_local_relative,mu_star_local_relative_conf
"'market for steel, chromium steel 18/8' (kilogram, GLO, None)",0.46710471530433323,9.245279874716556e-07,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.23258567881129613,4.6035067191740176e-07
"'market for refractory, basic, packed' (kilogram, GLO, None)",0.005852590320434103,3.755073584642072e-09,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.0029141831539758792,1.8697656222573376e-09
"'market for concrete, 35MPa' (cubic meter, RNA, None)",0.09587820227453961,2.3502039344655513e-08,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.04774068004152233,1.1702381918506363e-08
"'market for concrete, 20MPa' (cubic meter, CO, None)",0.017316573351905618,1.216223589691747e-09,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.008622449818590401,6.055948054612629e-10
"'market for concrete, 20MPa' (cubic meter, RNA, None)",0.08376232413043568,1.9205897341104107e-09,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.04170781492538802,9.563201834411725e-10
"'market group for transport, freight, light commercial vehicle' (ton kilometer, RER, None)",0.029944594867667717,1.8353799009965126e-08,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.014910326733670504,9.138916096613492e-09
"'concrete, all types to generic market for concrete, normal strength' (cubic meter, ZA, None)",0.02585021559248162,0.009567433023720916,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.012871610463359226,0.004763916593849673
"'concrete, all types to generic market for concrete, normal strength' (cubic meter, BR, None)",0.24479969660983017,0.05908406718193962,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.12189323238088173,0.029419758401475867
"'aluminium ingot, primary, to aluminium, wrought alloy market' (kilogram, GLO, None)",0.040868030297434646,0.024127829650108484,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.020349438267212614,0.012013981990649666
"'market for concrete, 30-32MPa' (cubic meter, RNA, None)",0.1057717064079668,7.267285146893587e-10,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.0526669573821317,3.6186028392032686e-10
"'market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",0.2674758703934671,0.09274633640693457,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.13318439065761598,0.04618122854189819
"'market for cast iron' (kilogram, GLO, None)",0.6309806671516214,1.317438799889939e-05,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.314184511476506,6.559929444623575e-06
"'market for steel, unalloyed' (kilogram, GLO, None)",5.670849570820884,0.00041141032523856695,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,2.823688893842102,0.00020485374399024082
"'transport, freight, lorry, all sizes, EURO2 to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",0.28999703651005004,0.062243235971814824,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.14439836589105934,0.030992804858508215
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",0.5398111952197198,0.26869917801308013,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.2687884518320787,0.13379351281755253
"'market for steel, chromium steel 18/8, hot rolled' (kilogram, GLO, None)",0.03842594297093314,7.212412979446954e-09,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.019133448533131786,3.591280314092155e-09
"'market for iron pellet' (kilogram, GLO, None)",0.18975131591874259,6.215514704483674e-06,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.09448296532297504,3.0948942696115765e-06
"'market for concrete, 25MPa' (cubic meter, BR, None)",0.23128788139685952,0.045600152749413744,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.11516528763891089,0.02270570630872584
"'market for ferronickel' (kilogram, GLO, None)",0.12367672584898912,4.167371627530417e-05,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.06158241244900329,2.075061387930087e-05
"'market for transport, freight, lorry, unspecified' (ton kilometer, ZA, None)",0.033378545981547346,0.019764550533018822,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.016620195687372098,0.009841372290851936
"'market for copper, cathode' (kilogram, GLO, None)",0.15232945088307165,0.06065183093657627,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.07584947780607973,0.030200395772799205
"'market group for transport, freight, lorry, unspecified' (ton kilometer, GLO, None)",0.8286636530152366,0.4012157111590986,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.41261689708532295,0.19977753482727512
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",6.689818598207817,3.5484461017714923,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,3.3310646388462275,1.7668794988894512
"'concrete, all types to generic market for concrete, normal strength' (cubic meter, AT, None)",0.015816973944728828,1.0862204370223932e-08,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.007875753554057969,5.4086227221866875e-09
"'cement, all types to generic market for cement, unspecified' (kilogram, Europe without Switzerland, None)",0.04036562954951677,0.014953249143280698,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.020099277617659655,0.007445678642225664
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",9.380427445069866,2.1851774627527782,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,4.67080081482416,1.088066480267419
"'market for aluminium, wrought alloy' (kilogram, GLO, None)",0.49217341105694457,0.17932861766990563,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.24506814671945273,0.08929318609826387
"'market for inert waste' (kilogram, RoW, None)",0.3375968650465694,0.18209161830812345,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.16809977174018362,0.09066896835423455
"'market for concrete, 30MPa' (cubic meter, AT, None)",0.008012103903855917,3.1807305500356575e-09,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.003989470806285558,1.5837827147899223e-09
"'concrete, all types to generic market for concrete, normal strength' (cubic meter, RoW, None)",21.066996971126375,6.030567780229762,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,10.489900081296595,3.0028035573745333
"'market for ferrosilicon' (kilogram, GLO, None)",0.029831167064415354,8.76250253280069e-08,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.014853847572250915,4.363117161746715e-08
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",0.4999972964480676,0.2753418368887272,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.24896389778985356,0.1371010951927329
"'market for transport, freight train' (ton kilometer, Europe without Switzerland, None)",0.11285271106356873,3.4129983494779837e-06,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.05619280548541212,1.6994359334993554e-06
"'market for ferrochromium, high-carbon, 68% Cr' (kilogram, GLO, None)",0.37679585779525127,3.2451209832183923e-06,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.18761814532635296,1.6158446746033707e-06
"'market for concrete, 35MPa' (cubic meter, RoW, None)",4.930516638060551,1.216990613583182,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,2.4550545553935335,0.605976730041788
"'market for inert waste' (kilogram, Europe without Switzerland, None)",0.11222675878443482,5.787739683248115e-07,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.05588112476163483,2.881892044558538e-07
"'market for zinc' (kilogram, GLO, None)",0.15493505110575825,0.02460571755132332,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.07714688559634274,0.012251936946482944
"'market for concrete, 20MPa' (cubic meter, RoW, None)",1.054530743301818,2.391723417485166e-07,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.5250830075616638,1.190912008289675e-07
"'cement, all types to generic market for cement, unspecified' (kilogram, RoW, None)",0.0657797516427621,0.024840144959192498,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.03275374383215601,0.012368665500070122
"'transport, freight, lorry, all sizes, unregulated to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",0.32960759001972095,0.11104750990081387,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.16412166812776555,0.05529394078960889
"'market for concrete, 25MPa' (cubic meter, AT, None)",0.0015667223049661062,7.783928048732447e-11,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.000780118801780719,3.875855091407443e-11
"'market for clinker' (kilogram, RoW, None)",1.096239427860489,3.780836599075719e-06,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.545851033215364,1.8825938126051296e-06
"'market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",0.677194436693236,0.16082395676795475,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.3371957562939815,0.08007915126616212
"'market for concrete, 30MPa' (cubic meter, BR, None)",0.25240777135447134,0.03190583384702222,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.12568152475077687,0.015886887415630522
"'market for concrete, 25MPa' (cubic meter, RNA, None)",0.2348801042563579,2.0768643895405656e-08,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.11695396492013581,1.0341340988724106e-08
"'market for ferromanganese, high-coal, 74.5% Mn' (kilogram, GLO, None)",0.07670659982155854,2.6486068831800323e-07,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.038194554677487606,1.3188221177072419e-07
"'market for concrete, 30MPa' (cubic meter, RoW, None)",4.247668273720722,1.4557599729469837,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,2.1150435361476974,0.7248672736553025
"'concrete, all types to generic market for concrete, normal strength' (cubic meter, RNA, None)",0.9883577840639276,0.41499183865939476,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.4921334736798032,0.20663708871544292
"'market for pig iron' (kilogram, RoW, None)",4.547477857789933,1.1144577792929382,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,2.26432786863284,0.5549225058336145
"'transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",7.535465139261144,2.8395485218068948,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,3.752137833659014,1.4138977809970792
"'market for aluminium, primary, ingot' (kilogram, RoW, None)",0.048524604167661786,0.018178056447262784,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.024161879830375512,0.009051408516615013
"'market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",1.4127152309189352,0.3876719202482377,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.7034339842539572,0.19303366841045153
"'market for steel, low-alloyed' (kilogram, GLO, None)",6.4901699120754515,2.2777163843073174,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,3.231653471143445,1.1341444306306576
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",0.2090745839559048,0.0953543298917513,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.10410460960534502,0.04747982801034143
"'market for transport, freight train' (ton kilometer, IN, None)",0.05097909327373884,1.0340616755603663e-05,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.025384044788611736,5.1489083467345355e-06
"'market for transport, freight train' (ton kilometer, RoW, None)",1.8373843697486678,0.5242952909350852,_market_for_liquid_manure_storage_and_processing_facility___cubic_meter__GLO__None_,200.83124536799602,0.9148896957651734,0.26106261004077586
