names,mu_star,mu_star_conf,reference_product,score,mu_star_local_relative,mu_star_local_relative_conf
"'market for electricity, low voltage' (kilowatt hour, IT, None)",6.55623401402461e-05,2.2574835465293523e-05,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.006141370116356404,0.0021146350116796786
"'market for electricity, medium voltage' (kilowatt hour, IT, None)",0.00040616138328712913,4.825830760726118e-09,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.03804603948549953,4.5204629299563055e-07
"'market for natural gas, high pressure' (cubic meter, RoW, None)",0.0008782110381145067,0.0003239055658987252,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.08226397980599173,0.030340954253260947
"'market for electricity, high voltage' (kilowatt hour, CN-NECG, None)",0.00019222855904698068,7.083672691292623e-05,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.018006476363046857,0.006635433647928839
"'market for irrigation' (cubic meter, CH, None)",0.004006991872134558,0.0007758857379783164,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.3753438343928796,0.07267894151938795
"'market group for electricity, low voltage' (kilowatt hour, CN, None)",2.921060286680266e-05,1.603340657380318e-08,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.0027362220924877314,1.5018848287769117e-06
"'market for electricity, high voltage' (kilowatt hour, US-MRO, None)",0.00023111291202208004,0.00010630181732010134,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.021648860128548504,0.009957527489219322
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",1.9313820901722957e-05,1.4803794149742253e-08,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.00180916852975004,1.3867043001430236e-06
"'market for electricity, medium voltage' (kilowatt hour, DE, None)",0.0008691783880359738,9.398263009243707e-08,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.0814178713976411,8.803561841624413e-06
"'market for polypropylene, granulate' (kilogram, GLO, None)",0.00017648036844124525,6.684903505535207e-11,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.016531308347904908,6.2618976887950335e-09
"'market for natural gas, high pressure' (cubic meter, PL, None)",0.0008062454134185714,0.00027008588220012186,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.07552279979369943,0.025299544864405724
"'market for electricity, medium voltage' (kilowatt hour, US-MRO, None)",0.00048707464114915443,1.3648380264651758e-08,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.04562536418299983,1.278474113564278e-06
"'market for acetamide-anillide-compound, unspecified' (kilogram, GLO, None)",0.0005634532882242471,2.260441459954781e-07,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.052779921809699974,2.1174057549263106e-05
"'market for polyethylene, high density, granulate' (kilogram, GLO, None)",0.0013665086532420822,0.0005074720848111003,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.1280039026796681,0.047536038065103085
"'market for electricity, high voltage' (kilowatt hour, CZ, None)",0.0006068978783245302,0.00014760934780042598,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.056849473122061504,0.013826895677262691
"'market for heat, district or industrial, other than natural gas' (megajoule, Europe without Switzerland, None)",0.00015269197758306337,9.155985765136232e-05,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.014302996905388792,0.008576615362341947
"'market group for electricity, low voltage' (kilowatt hour, RAS, None)",0.00020823371547037408,8.065120286281002e-05,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.019505714937447585,0.0075547774232940955
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",0.00885651454214056,1.3035632781624047e-06,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.8296094011871521,0.00012210766949686448
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",0.0010677754953120953,0.0005457934752873497,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.10002090382771296,0.051125687882126514
"'market for electricity, low voltage' (kilowatt hour, ES, None)",6.413210731017748e-05,3.2222072585651286e-05,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.00600739702840338,0.003018313154186978
"'market for natural gas, high pressure' (cubic meter, RU, None)",0.0004227927704183787,1.0853374228050334e-11,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.039603938482132686,1.0166596860819568e-09
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",0.002893395800717769,0.0011184851346391824,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.2710308153630301,0.1047709884480667
"'market group for electricity, low voltage' (kilowatt hour, RER, None)",0.012031497592013241,5.790816533807143e-07,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,1.1270171200195782,5.424386550869121e-05
"'market for electricity, high voltage' (kilowatt hour, UA, None)",0.0004977954371973346,0.00017541472909349024,_market_for_maize_seed__Swiss_integrated_production__at_farm___kilogram__CH__None_,1.06755233601103,0.046629604976312036,0.016431487541766557
