names,mu_star,mu_star_conf,reference_product,score,mu_star_local_relative,mu_star_local_relative_conf
"'market for waste polyvinylchloride' (kilogram, NL, None)",0.0003008455012357414,5.041408344817119e-05,_market_for_plastic_tunnel___square_meter__GLO__None_,0.9266652290087902,0.032465392227734875,0.005440377157789415
"'market for waste mineral oil' (kilogram, Europe without Switzerland, None)",0.00848683643678239,0.0015923016834988113,_market_for_plastic_tunnel___square_meter__GLO__None_,0.9266652290087902,0.915847079517633,0.17183138350858604
"'market for electricity, medium voltage' (kilowatt hour, GB, None)",0.0014857565608766832,1.4858583876406488e-07,_market_for_plastic_tunnel___square_meter__GLO__None_,0.9266652290087902,0.16033369056762023,1.6034467908437666e-05
"'market for ferrosilicon' (kilogram, GLO, None)",0.0012582056550473231,1.9306229011562434e-08,_market_for_plastic_tunnel___square_meter__GLO__None_,0.9266652290087902,0.13577779932383627,2.0834092407042608e-06
"'market for electricity, medium voltage' (kilowatt hour, US-WECC, None)",0.0012869381092902143,3.205097758419332e-08,_market_for_plastic_tunnel___square_meter__GLO__None_,0.9266652290087902,0.13887842869282913,3.4587439542192303e-06
"'aluminium ingot, primary, to aluminium, wrought alloy market' (kilogram, GLO, None)",0.00030968254200452463,0.00011349305317526147,_market_for_plastic_tunnel___square_meter__GLO__None_,0.9266652290087902,0.03341903120027254,0.01224747078258883
"'market for electricity, high voltage' (kilowatt hour, PH, None)",0.0005714376009156975,0.00017160592076054192,_market_for_plastic_tunnel___square_meter__GLO__None_,0.9266652290087902,0.0616660238268503,0.018518653272886976
"'market for electricity, high voltage' (kilowatt hour, DE, None)",0.0018277313879126946,0.000708197343412119,_market_for_plastic_tunnel___square_meter__GLO__None_,0.9266652290087902,0.19723750613452198,0.0764242923164004
"'market for steel, chromium steel 18/8, hot rolled' (kilogram, GLO, None)",7.292403647124468e-06,3.784652105608509e-08,_market_for_plastic_tunnel___square_meter__GLO__None_,0.9266652290087902,0.0007869512547616366,4.084163284789235e-06
"'market for section bar rolling, steel' (kilogram, GLO, None)",0.00019060093255126586,9.85428139932408e-11,_market_for_plastic_tunnel___square_meter__GLO__None_,0.9266652290087902,0.02056847786931022,1.0634133116081993e-08
"'market group for electricity, high voltage' (kilowatt hour, GLO, None)",0.0009106549042616374,0.0002753257916520515,_market_for_plastic_tunnel___square_meter__GLO__None_,0.9266652290087902,0.09827226443315691,0.02971146246056458
"'market for natural gas, high pressure' (cubic meter, MX, None)",0.00016810079351671777,6.641377827834765e-05,_market_for_plastic_tunnel___square_meter__GLO__None_,0.9266652290087902,0.018140401544636267,0.007166965609510062
"'market for ammonium nitrate' (kilogram, RoW, None)",2.3916206656743322e-05,3.707839159975521e-07,_market_for_plastic_tunnel___square_meter__GLO__None_,0.9266652290087902,0.0025808896145078576,4.0012714882391994e-05
"'market for natural gas, high pressure' (cubic meter, US, None)",0.0006724958610041798,0.0003815434456155709,_market_for_plastic_tunnel___square_meter__GLO__None_,0.9266652290087902,0.07257160838154213,0.04117381700225116
"'market for iron pellet' (kilogram, GLO, None)",0.0004627236539486268,1.5475255443718428e-08,_market_for_plastic_tunnel___square_meter__GLO__None_,0.9266652290087902,0.049934284730158734,1.6699941855238891e-06
"'market group for electricity, medium voltage' (kilowatt hour, IN, None)",0.001343730052055947,0.0004561393256076272,_market_for_plastic_tunnel___square_meter__GLO__None_,0.9266652290087902,0.14500706511814102,0.04922374459820164
