names,mu_star,mu_star_conf,reference_product,score,mu_star_local_relative,mu_star_local_relative_conf
"'market for reinforcing steel' (kilogram, GLO, None)",0.012168849319695935,0.003961181478893169,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,3.271208873649325,1.0648379040175733
"'market for ferrochromium, high-carbon, 68% Cr' (kilogram, GLO, None)",7.305843603929441e-05,2.3015878378351582e-07,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.01963944149426391,6.187088327590419e-05
"'market for steel, low-alloyed, hot rolled' (kilogram, GLO, None)",9.814376088429777e-05,6.471778123095633e-11,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.026382834815646683,1.7397321199708138e-08
"'market for copper, cathode' (kilogram, GLO, None)",0.0005563157402301399,0.0003423170609836194,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.14954782807986142,0.09202107595158826
"'market for copper, anode' (kilogram, GLO, None)",7.549173806858933e-06,3.0338968773388092e-06,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.0020293557506499763,0.000815566872935499
"'market for steel, chromium steel 18/8, hot rolled' (kilogram, GLO, None)",8.250253745320512e-06,1.726835815653456e-07,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.002217818838291392,4.642049954845035e-05
"'market for drawing of pipe, steel' (kilogram, GLO, None)",1.2879816257110877e-05,1.7775695051426317e-10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.0034623297671243338,4.778431375051582e-08
"'aluminium ingot, primary, to aluminium, wrought alloy market' (kilogram, GLO, None)",6.010502969616694e-06,5.858389124541595e-06,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.001615732936842465,0.0015748419580208935
"'market for aluminium, wrought alloy' (kilogram, GLO, None)",0.0004824034426764934,0.0002418072308384422,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.12967885302090004,0.06500219851937879
"'market for aluminium oxide, metallurgical' (kilogram, RoW, None)",0.001198574900052618,0.000457007113226588,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.3221988164846013,0.12285185598345721
"'market for aluminium, primary, ingot' (kilogram, RoW, None)",0.0009341151423051557,0.000334947184535578,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.25110720514658985,0.09003991860456521
"'market for steel, chromium steel 18/8' (kilogram, GLO, None)",0.00010203607950736714,2.338524191186447e-10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.02742916112673402,6.286379989167178e-08
"'market for steel, unalloyed' (kilogram, GLO, None)",0.00282468014057341,1.4772876938820456e-07,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.7593255942539393,3.9712190415064205e-05
"'market for iron pellet' (kilogram, GLO, None)",0.00010814747429155336,3.700403398859475e-09,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.02907201562539615,9.947359948683874e-07
"'market for silicon, metallurgical grade' (kilogram, GLO, None)",0.00014321513846103363,1.682497136776734e-05,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.038498844012833586,0.004522859490753525
"'market for aluminium, primary, liquid' (kilogram, GLO, None)",0.00017675975062298455,6.31531871279966e-05,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.047516248213055924,0.016976729738773757
"'market for aluminium, primary, ingot' (kilogram, IAI Area, North America, None)",0.0009666375118248804,0.0004985579332711335,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.2598498118606718,0.1340214750383277
"'market for magnesium' (kilogram, GLO, None)",0.0,0.0,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.0,0.0
"'market for lead' (kilogram, GLO, None)",0.0004834104008318435,0.00021083947368335295,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.12994954175790685,0.05667749999272496
"'market for aluminium, cast alloy' (kilogram, GLO, None)",0.025310614141508907,0.00672829367895365,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,6.803955197572194,1.8086881847972294
"'market for ferronickel' (kilogram, GLO, None)",5.929058954037558e-05,1.5379666866206408e-07,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.0159383929846559,4.134335252641785e-05
"'aluminium ingot, primary, to aluminium, cast alloy market' (kilogram, GLO, None)",0.0008179261947533406,0.00021983774054134213,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.2198734946891601,0.05909639841278151
"'market for steel, low-alloyed' (kilogram, GLO, None)",0.006211527375084791,0.002646553672582889,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,1.669771967297298,0.7114419474592263
"'market for sheet rolling, steel' (kilogram, GLO, None)",0.0006129951176801873,8.815749622263949e-11,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.16478427957962796,2.3698344547289618e-08
"'market for pig iron' (kilogram, RoW, None)",0.0022448539734224227,0.0005773350160320282,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.6034577341688923,0.15519819318131195
"'market for aluminium, primary, ingot' (kilogram, IAI Area, EU27 & EFTA, None)",0.0010123984846818368,0.0003477041058420948,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.27215119685968026,0.09346921196517743
"'market for platinum' (kilogram, GLO, None)",0.0,0.0,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.0,0.0
"'market for hot rolling, steel' (kilogram, GLO, None)",0.00031935075649976163,2.5462334037926583e-09,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.08584731399194843,6.844740275802011e-07
"'market for ferromanganese, high-coal, 74.5% Mn' (kilogram, GLO, None)",5.624163254696335e-05,1.42486162717695e-07,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.01511877767755516,3.8302882023524964e-05
"'market for zinc' (kilogram, GLO, None)",0.0001497436185012607,2.2957345709660223e-05,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,0.37199854212062283,0.04025381864338205,0.006171353677567952
