names,mu_star,mu_star_conf,reference_product,score,mu_star_local_relative,mu_star_local_relative_conf
"'market group for electricity, high voltage' (kilowatt hour, CN-SGCC, None)",1.0742909759255127e-06,3.1721881930013944e-07,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.0023925648290895308,0.0007064813976762332
"'market for electricity, high voltage' (kilowatt hour, FI, None)",0.00031638832442493236,0.00013091978864448434,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.7046317937293624,0.29157285015149065
"'market group for electricity, high voltage' (kilowatt hour, GLO, None)",9.74918119537628e-06,3.1168143239717936e-06,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.021712504864320505,0.006941490245613334
"'market for cast iron' (kilogram, GLO, None)",8.083121221792375e-06,1.0359401228120347e-08,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.01800200502277006,2.307153237275835e-05
"'market for electricity, high voltage' (kilowatt hour, FR, None)",5.7002918283524986e-05,1.7802440772416643e-05,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.12695180402416667,0.03964800470127638
"'market for electricity, high voltage' (kilowatt hour, CA-AB, None)",0.0001157603844986314,2.9039268863076206e-05,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.2578111803598637,0.06467366374777052
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",1.820537328139296e-05,9.208604448968327e-06,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.040545379966523305,0.02050858065769197
"'market group for electricity, high voltage' (kilowatt hour, IN, None)",2.810156543897602e-06,1.3271117389792605e-06,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.006258529450433895,0.0029556246325332445
"'market for steel, unalloyed' (kilogram, GLO, None)",8.105137987946646e-05,4.831623170704267e-09,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.18051038796236898,1.0760559219704918e-05
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",0.0001829133489358571,9.975690418721063e-05,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.40736825984960745,0.2221696595855266
"'market for electricity, medium voltage' (kilowatt hour, US-NPCC, None)",4.1130536639270857e-05,8.903259756692926e-10,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.09160225448223532,1.9828544254279095e-06
"'market for electricity, medium voltage' (kilowatt hour, US-WECC, None)",5.1807833325946687e-05,1.7005172967899253e-09,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.1153817752031336,3.7872401116027616e-06
"'market for aluminium, primary, ingot' (kilogram, IAI Area, North America, None)",9.185299233955833e-05,4.5846269643562925e-05,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.20456677366104487,0.10210471348290388
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",1.1711150939201428e-05,6.223370684843584e-06,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.02608202849433126,0.013860134872785144
"'market for electricity, high voltage' (kilowatt hour, US-WECC, None)",3.763437950646197e-05,1.237820788122785e-05,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.08381592584280624,0.027567638086385668
"'market for manganese dioxide' (kilogram, GLO, None)",5.379930994785856e-05,1.0423872078342539e-10,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.11981701391435474,2.3215116087226613e-07
"'market for transport, freight train' (ton kilometer, Europe without Switzerland, None)",2.043749011131392e-05,2.4374355681527447e-11,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.045516551037830894,5.428438611345521e-08
"'market for electricity, medium voltage' (kilowatt hour, IT, None)",2.9432964667476178e-05,4.5715689034870595e-10,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.06555046785026798,1.0181389602402202e-06
"'market for copper oxide' (kilogram, GLO, None)",2.378540407433835e-06,1.462643570054921e-10,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.005297272574119672,3.2574690113100164e-07
"'market for electricity, high voltage' (kilowatt hour, CN-NWG, None)",1.535583843045412e-05,6.343270618256492e-06,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.034199150670733466,0.014127165286446362
"'market for electricity, high voltage' (kilowatt hour, IE, None)",5.816264505477224e-05,3.89438650049046e-05,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.12953464381936208,0.08673229488805255
"'market group for electricity, medium voltage' (kilowatt hour, RAS, None)",0.00018669788991173089,5.59356818288473e-05,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.4157968512052436,0.124574950394186
"'market for electricity, high voltage' (kilowatt hour, IN-Northern grid, None)",7.848817406222106e-06,3.2686531977411522e-06,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.017480184509503668,0.007279652212166352
"'market for pig iron' (kilogram, RoW, None)",6.805411134820326e-05,2.3239548980268324e-05,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.15156403333499047,0.051757046070494694
"'market for ammonia, anhydrous, liquid' (kilogram, RER, None)",0.0001281862402632672,3.473544786201354e-05,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.2854849355528594,0.07735968442416577
"'market for aluminium, primary, ingot' (kilogram, RoW, None)",1.9560248057651913e-05,8.140147500052911e-06,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.04356283595390608,0.018129008852046845
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",8.270262555877881e-06,1.741055203895051e-06,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.018418789473198995,0.003877522514562597
"'market for electricity, high voltage' (kilowatt hour, CN-CSG, None)",5.283590936366146e-05,3.189594171879141e-05,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.11767141425306325,0.07103579016972127
"'market for electricity, high voltage' (kilowatt hour, CN-SWG, None)",1.7429162400509766e-05,8.356846770392066e-06,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.03881667247928244,0.01861162209587137
"'market for transport, freight train' (ton kilometer, RoW, None)",0.0003459242723505663,3.911503345904846e-05,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.7704116166863704,0.08711350596811529
"'market group for electricity, medium voltage' (kilowatt hour, CN, None)",6.389797800798077e-05,1.7964718946391743e-09,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.14230786468267906,4.000941614406282e-06
"'market group for transport, freight train' (ton kilometer, RER, None)",0.00014082049366822454,1.839664842390849e-08,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.3136228153413995,4.097137086556022e-05
"'market for electricity, medium voltage' (kilowatt hour, CA-ON, None)",6.580203633438607e-05,9.18441307758179e-10,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.14654841318060136,2.045470379784307e-06
"'market for sulfuric acid' (kilogram, RoW, None)",2.738303521091049e-05,1.307857198962869e-05,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.06098504821089297,0.02912742642201131
"'market for natural gas, high pressure' (cubic meter, DE, None)",2.6596802293761893e-05,1.0824819853090084e-05,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.05923402054036675,0.024108071129817606
"'market for transport, freight train' (ton kilometer, CN, None)",0.00023448041989904898,6.906850632950484e-05,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.5222138306405245,0.1538232031590469
"'market group for electricity, medium voltage' (kilowatt hour, CA, None)",0.0006626222293883959,8.33726724419236e-08,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,1.475732996492651,0.00018568016325362784
"'market for chlorine, liquid' (kilogram, RoW, None)",5.378314141464211e-06,2.4983281039278592e-06,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.011978100480250465,0.005564053023748178
"'market for electricity, high voltage' (kilowatt hour, AU, None)",0.0014585097598455163,0.0008008920156414612,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,3.2482625587391647,1.7836751042905934
"'market for synthetic rubber' (kilogram, GLO, None)",7.546392787268277e-06,3.378028314659157e-08,_zinc_coating__pieces__adjustment_per_micro_m___square_meter__RoW__None_,0.044901227455321435,0.016806651432362842,7.52324269535935e-05
