names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
Wholesale and retail trade and repair of motor vehicles and motorcycles,,1.0677626012996674e-07,,2.6070587810084875e-23,1,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,5.690777063369751,16,467.7401828443292,2.282811356524044e-08,5.573732761540727e-24,39
"Electricity, gas, steam and air conditioning supply",,3.462628569650406e-06,,0.0,1,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,5.690777063369751,16,467.7401828443292,7.402888818732984e-07,0.0,14
Civil engineering,,1.1791724811397823e-06,,0.0,1,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,5.690777063369751,16,467.7401828443292,2.5209988886762554e-07,0.0,11
Manufacture of coke and refined petroleum products,,2.0290914903853269e-07,,0.0,1,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,5.690777063369751,16,467.7401828443292,4.3380739239601284e-08,0.0,11
Manufacture of other non-metallic mineral products,,5.0909581735443986e-08,,2.607058781008487e-23,1,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,5.690777063369751,16,467.7401828443292,1.0884158257659775e-08,5.573732761540726e-24,9
Manufacture of basic metals,,1.948825646043892e-07,,1.0428235124033943e-22,1,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,5.690777063369751,16,467.7401828443292,4.1664704413315075e-08,2.2294931046162893e-23,7
Manufacture of chemicals and chemical products,,6.371098711118368e-06,,1.6685176198454312e-21,1,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,5.690777063369751,16,467.7401828443292,1.3621020696523658e-06,3.5671889673860634e-22,4
Manufacture of machinery and equipment,,6.8392864704946996e-09,,0.0,1,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,5.690777063369751,16,467.7401828443292,1.4621977587867226e-09,0.0,3
Construction of buildings,,9.531940274124889e-09,,0.0,1,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,5.690777063369751,16,467.7401828443292,2.037870729036179e-09,0.0,3
Land transport and transport via pipelines,,1.796466054315715e-05,,0.0,1,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,5.690777063369751,16,467.7401828443292,3.840734921236402e-06,0.0,2
Mining of metal ores,,6.182223917979478e-08,,0.0,1,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,5.690777063369751,16,467.7401828443292,1.3217217901582369e-08,0.0,2
Mining of coal and lignite,,1.087925824094782e-06,,0.0,1,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,5.690777063369751,16,467.7401828443292,2.3259190978185848e-07,0.0,2
"Wholesale trade, except of motor vehicles and motorcycles",,1.0177106920158014e-06,,0.0,1,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,5.690777063369751,16,467.7401828443292,2.1758034253698288e-07,0.0,1
Manufacture of electrical equipment,-5.010557894517358e-10,5.010557894517358e-10,,0.0,1,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,5.690777063369751,16,467.7401828443292,1.0712267361867742e-10,0.0,1
Specialized construction activities,-1.0212867588658507e-10,1.0212867588658507e-10,,5.091911681657202e-26,1,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,5.690777063369751,16,467.7401828443292,2.1834488383174684e-11,1.0886196799884232e-26,1
