names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
Wholesale and retail trade and repair of motor vehicles and motorcycles,,1.2220425560371952e-08,,0.0,1,_market_for_wood_wool_boards__cement_bonded___cubic_meter__RoW__None_,0,48,5.3124120235443115,13,277.1992819550238,4.408534349073365e-09,0.0,14
"Electricity, gas, steam and air conditioning supply",,1.6919532678608987e-07,,1.0428235124034002e-22,1,_market_for_wood_wool_boards__cement_bonded___cubic_meter__RoW__None_,0,48,5.3124120235443115,13,277.1992819550238,6.103743328366276e-08,3.7619993278792135e-23,8
Civil engineering,,4.334487944864426e-07,,1.042823512403395e-22,1,_market_for_wood_wool_boards__cement_bonded___cubic_meter__RoW__None_,0,48,5.3124120235443115,13,277.1992819550238,1.5636721402358126e-07,3.7619993278791947e-23,8
Land transport and transport via pipelines,,9.101243222175981e-06,,0.0,1,_market_for_wood_wool_boards__cement_bonded___cubic_meter__RoW__None_,0,48,5.3124120235443115,13,277.1992819550238,3.283285280534268e-06,0.0,6
Manufacture of coke and refined petroleum products,,2.4462662887951103e-07,,0.0,1,_market_for_wood_wool_boards__cement_bonded___cubic_meter__RoW__None_,0,48,5.3124120235443115,13,277.1992819550238,8.824937321417818e-08,0.0,3
Manufacture of basic metals,,1.4268126354484903e-07,,0.0,1,_market_for_wood_wool_boards__cement_bonded___cubic_meter__RoW__None_,0,48,5.3124120235443115,13,277.1992819550238,5.1472450627775925e-08,0.0,2
Manufacture of other non-metallic mineral products,-1.4632642357052344e-08,1.4632642357052344e-08,,3.2588234762606094e-24,1,_market_for_wood_wool_boards__cement_bonded___cubic_meter__RoW__None_,0,48,5.3124120235443115,13,277.1992819550238,5.2787446828330966e-09,1.1756247899622483e-24,2
Manufacture of other transport equipment,-1.6125909496622628e-09,1.6125909496622628e-09,,0.0,1,_market_for_wood_wool_boards__cement_bonded___cubic_meter__RoW__None_,0,48,5.3124120235443115,13,277.1992819550238,5.817442737546157e-10,0.0,1
Unknown,-2.7880086387691944e-09,2.7880086387691944e-09,,1.6294117381303047e-24,1,_market_for_wood_wool_boards__cement_bonded___cubic_meter__RoW__None_,0,48,5.3124120235443115,13,277.1992819550238,1.0057777275272865e-09,5.878123949811242e-25,1
"Wholesale trade, except of motor vehicles and motorcycles",,2.1637075064973038e-07,,0.0,1,_market_for_wood_wool_boards__cement_bonded___cubic_meter__RoW__None_,0,48,5.3124120235443115,13,277.1992819550238,7.80560285451378e-08,0.0,1
Mining of coal and lignite,,3.405199322514818e-08,,0.0,1,_market_for_wood_wool_boards__cement_bonded___cubic_meter__RoW__None_,0,48,5.3124120235443115,13,277.1992819550238,1.2284300660877321e-08,0.0,1
Manufacture of chemicals and chemical products,-1.1506566958511637e-08,1.1506566958511637e-08,,6.517646952521219e-24,1,_market_for_wood_wool_boards__cement_bonded___cubic_meter__RoW__None_,0,48,5.3124120235443115,13,277.1992819550238,4.15100893384659e-09,2.3512495799244967e-24,1
