names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
"Electricity, gas, steam and air conditioning supply",,2.9555879225521524e-09,,1.6294117381303098e-24,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,7.27024824463708e-08,4.008078304334019e-23,98
Manufacture of chemicals and chemical products,,9.542810985863072e-11,,0.0,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,2.3473706970275465e-09,0.0,16
"Crop and animal production, hunting and related service activities",,3.1074111062068255e-07,,0.0,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,7.64370769276863e-06,0.0,14
Manufacture of basic metals,,2.7157011454429863e-09,,1.6294117381303036e-24,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,6.680167196165484e-08,4.0080783043340046e-23,14
Land transport and transport via pipelines,,1.5481722126509112e-08,,0.0,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,3.808242761291965e-07,0.0,8
Construction of buildings,,3.3006516038843375e-10,,2.0367646726628809e-25,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,8.119046754182709e-09,5.010097880417509e-24,7
Manufacture of coke and refined petroleum products,,1.502048707635595e-09,,0.0,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,3.694786711206149e-08,0.0,6
Other mining and quarrying,,7.161071587565479e-09,,1.6294117381303045e-24,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,1.7615029396338224e-07,4.008078304334007e-23,5
Manufacture of machinery and equipment,,5.086258821525765e-10,,0.0,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,1.251133961768145e-08,0.0,4
"Waste collection, treatment, and disposal activities",4.358070941160956e-10,4.358070941160956e-10,,1.0183823363314404e-25,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,1.0720120138608473e-08,2.5050489402087543e-24,3
Wholesale and retail trade and repair of motor vehicles and motorcycles,,1.7969892240898846e-10,,0.0,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,4.420290681384967e-09,0.0,3
Extraction of crude petroleum and natural gas,,6.573882179357802e-11,,0.0,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,1.6170642399180296e-09,0.0,3
Manufacture of other non-metallic mineral products,,6.183067391418717e-10,,0.0,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,1.520930387688086e-08,0.0,2
Mining of metal ores,,5.920304246842534e-10,,0.0,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,1.4562950819327178e-08,0.0,2
Manufacture of wood and products of wood and cork,,1.7940419520338466e-10,,1.0183823363314404e-25,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,4.413040888770651e-09,2.5050489402087543e-24,1
Sewerage,2.1199369667120513e-09,2.1199369667120513e-09,,0.0,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,5.214687708451207e-08,0.0,1
Unknown,,2.3524540981867407e-08,,0.0,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,5.786640670517787e-07,0.0,1
Manufacture of electrical equipment,1.8928162740886972e-10,1.8928162740886972e-10,,5.091911681657202e-26,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,4.656009076607338e-09,1.2525244701043772e-24,1
"Wholesale trade, except of motor vehicles and motorcycles",,1.6249794250929504e-08,,0.0,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,3.997175561149266e-07,0.0,1
Civil engineering,,8.957378542599297e-10,,2.0367646726628809e-25,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,2.203364181081413e-08,5.010097880417509e-24,1
Mining of coal and lignite,,2.6473342037055175e-10,,0.0,1,_soybean_oil_refinery_operation___kilogram__US__None_,0,192,7.296944856643677,22,4.065319124051026,6.511996039975063e-09,0.0,1
