names,mu,mu_star,sigma,mu_star_conf,index
M1 mix,,5.313915657497951,,2.8926069826401513,10
M0 mix,,3.92143662108201,,2.685427467969883,10
M1 mix,,5.9677742498334085,,1.0545204848484504,110
M0 mix,,3.969976284872177,,0.8510738057831357,110
M1 mix,,5.973038982747238,,0.6707193018162,210
M0 mix,,4.204223949753035,,0.5469737044858407,210
M1 mix,,6.451768790293249,,0.6069883910745333,310
M0 mix,,4.4303817760133315,,0.5330804081847647,310
M1 mix,,6.206514250485778,,0.5051317422334185,410
M0 mix,,4.156240457442647,,0.4016292404425291,410
M1 mix,,6.488583062610167,,0.5910019234046452,510
M0 mix,,4.6109003030843665,,0.3830352659893375,510
M1 mix,,6.684514302092671,,0.4405218362212802,610
M0 mix,,4.602857992669126,,0.33537407830937727,610
M1 mix,,6.332516285838532,,0.41796706783271315,710
M0 mix,,4.077727040834971,,0.31823605428680224,710
M1 mix,,6.497846794175454,,0.418706404455082,810
M0 mix,,4.534243497411951,,0.33231081278126623,810
M1 mix,,6.541555572054296,,0.3419636855065308,910
M0 mix,,4.448141304559418,,0.31721334633013704,910
