names,mu,mu_star,sigma,mu_star_conf,index
M0,-2.787227318,9.103078809,9.836179854,0.94133659,100
M1,0.431581909,9.714605216,12.97384107,1.805512115,100
M0,-2.831096614,9.918501726,10.77211031,0.703214695,200
M1,2.372564265,10.24043507,13.23503259,1.160511263,200
M0,-3.280731867,9.475597491,10.47798856,0.626784558,300
M1,1.658825318,10.51341023,13.97954804,1.050470843,300
M0,-3.794698969,9.601573942,10.55109089,0.471526645,400
M1,-0.970641424,10.30783421,13.71691987,0.689596739,400
M0,-2.600728257,9.527450511,10.55020935,0.509034938,500
M1,-1.008948722,10.91852708,14.27434565,0.75927295,500
