scenario,method,iteration,score,category
fu,climate change,0,2.1122071391060167,market mixes
fu,climate change,1,2.1123342493214787,market mixes
fu,climate change,2,2.1117565284759388,market mixes
fu,climate change,3,2.111862968107999,market mixes
fu,climate change,4,2.1149772636115847,market mixes
fu,climate change,5,2.114878304222141,market mixes
fu,climate change,6,2.1143822172034246,market mixes
fu,climate change,7,2.1143756975609516,market mixes
fu,climate change,8,2.114370557075928,market mixes
fu,climate change,9,2.114370526281818,market mixes
fu,climate change,10,2.1143748164260456,market mixes
fu,climate change,11,2.1143748803421563,market mixes
fu,climate change,12,2.0978335571733706,market mixes
fu,climate change,13,2.0978540255800047,market mixes
fu,climate change,14,2.0977086287087126,market mixes
fu,climate change,15,2.09813045890968,market mixes
fu,climate change,16,2.0981304586716267,market mixes
fu,climate change,17,2.096017784563308,market mixes
fu,climate change,18,2.09601749976642,market mixes
fu,climate change,19,2.0960175002934243,market mixes
fu,climate change,20,2.096017492431373,market mixes
fu,climate change,21,2.095646545327384,market mixes
fu,climate change,22,2.0954716550303183,market mixes
fu,climate change,23,2.1047479409299394,market mixes
fu,climate change,24,2.104739134253304,market mixes
fu,climate change,25,2.106889189465435,market mixes
fu,climate change,26,2.1064815800541745,market mixes
fu,climate change,27,2.106339198195878,market mixes
fu,climate change,28,2.1060800255619934,market mixes
fu,climate change,29,2.1054946702617636,market mixes
fu,climate change,30,2.102947933513131,market mixes
fu,climate change,31,2.105804237559284,market mixes
fu,climate change,32,2.1011454400935112,market mixes
fu,climate change,33,2.1039953848466544,market mixes
fu,climate change,34,2.1062788427646217,market mixes
fu,climate change,35,2.120739386366158,market mixes
fu,climate change,36,2.1635705614382488,market mixes
fu,climate change,37,2.161523852778112,market mixes
fu,climate change,38,2.1616523711113897,market mixes
fu,climate change,39,2.1621401217118987,market mixes
fu,climate change,40,2.162048402505769,market mixes
fu,climate change,41,2.176302424578073,market mixes
fu,climate change,42,2.1742875080130157,market mixes
fu,climate change,43,2.1744099194096527,market mixes
fu,climate change,44,2.174870190039177,market mixes
fu,climate change,45,2.1744947808106456,market mixes
fu,climate change,46,2.1741790230390072,market mixes
fu,climate change,47,2.1734921246960606,market mixes
fu,climate change,48,2.1734963343240774,market mixes
fu,climate change,49,2.1650173537372974,market mixes
fu,climate change,50,2.165088598606599,market mixes
fu,climate change,51,2.1733914676614248,market mixes
fu,climate change,52,2.173391467661423,market mixes
fu,climate change,53,2.1734559338339374,market mixes
fu,climate change,54,2.164733868400968,market mixes
fu,climate change,55,2.1647653062740213,market mixes
fu,climate change,56,2.164784257322092,market mixes
fu,climate change,57,2.1641758228099315,market mixes
fu,climate change,58,2.1641342923736677,market mixes
fu,climate change,59,2.1643773054522186,market mixes
fu,climate change,60,2.1645389251012617,market mixes
fu,climate change,61,2.164891176868705,market mixes
fu,climate change,62,2.16437793138144,market mixes
fu,climate change,63,2.166374124418579,market mixes
fu,climate change,64,2.1663097643088927,market mixes
fu,climate change,65,2.1663068480710805,market mixes
fu,climate change,66,2.165469137488528,market mixes
fu,climate change,67,2.1668350485628207,market mixes
fu,climate change,68,2.1552429108683446,market mixes
fu,climate change,69,2.156049031795182,market mixes
fu,climate change,70,2.1567268113592895,market mixes
fu,climate change,71,2.153348425176108,market mixes
fu,climate change,72,2.1201569778353333,market mixes
fu,climate change,73,2.120346354996164,market mixes
fu,climate change,74,2.473805819191003,market mixes
fu,climate change,75,2.474594952889662,market mixes
fu,climate change,76,2.4216498989725865,market mixes
fu,climate change,77,2.416587714972613,market mixes
fu,climate change,78,2.4166163309925386,market mixes
fu,climate change,79,2.416566918967833,market mixes
fu,climate change,80,2.4122425287083478,market mixes
fu,climate change,81,2.412253730682189,market mixes
fu,climate change,82,2.4124835837819076,market mixes
fu,climate change,83,2.4092389440355473,market mixes
fu,climate change,84,2.4093336065798754,market mixes
fu,climate change,85,2.4093200875123983,market mixes
fu,climate change,86,2.4093716900233386,market mixes
fu,climate change,87,2.409370620784312,market mixes
fu,climate change,88,2.4093456788795136,market mixes
fu,climate change,89,2.40942377764815,market mixes
fu,climate change,90,2.409423777648657,market mixes
fu,climate change,91,2.409540783814104,market mixes
fu,climate change,92,2.408120883849979,market mixes
