activity,activity type,authors,classifications,code,comment,database,filename,flow,location,name,parameters,production amount,reference product,synonyms,type,unit
79475baf-1719-55ff-b5be-df854b109675,market activity,"{'data entry': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}, 'data generator': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}}","[('ISIC rev.4 ecoinvent', '0162:Support activities for animal production'), ('CPC', '7: Financial and related services; real estate services; and rental and leasing services')]",421f3d6c21f25ab194399e33588be07c,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This market represents the mix of 'land use change, pasture, man made', in Brazil, Minas Gerais. This market connects the specific land use changeXX in VV to the crop producing activities. Transport or losses are irrelevant for this product.
The production volumes and market shares of land tenure and LUC have a high level of uncertainty, which can have large impacts in overall LCIA results (Novaes et al. 2017). However, the uncertainty associated with these data could not easily be reflected in the datasets. Uncertainty assessments should take this limitation into consideration.",cutoff-3.9.1,79475baf-1719-55ff-b5be-df854b109675_85086b85-ef0a-55c6-be1f-66e45e7aeaaa.spold,85086b85-ef0a-55c6-be1f-66e45e7aeaaa,BR-MG,"market for land use change, pasture, man made",[],1.0,"land use change, pasture, man made",[],process,hectare
707325d1-e9e3-55f2-a732-ddce4d744aa8,market activity,"{'data entry': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}, 'data generator': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}}","[('ISIC rev.4 ecoinvent', '0162:Support activities for animal production'), ('CPC', '7: Financial and related services; real estate services; and rental and leasing services')]",c259ea690a94aa845c2665d63748d443,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This market represents the mix of 'land use change, pasture, man made', in Brazil, Espírito Santo. This market connects the specific land use changeXX in VV to the crop producing activities. Transport or losses are irrelevant for this product.
The production volumes and market shares of land tenure and LUC have a high level of uncertainty, which can have large impacts in overall LCIA results (Novaes et al. 2017). However, the uncertainty associated with these data could not easily be reflected in the datasets. Uncertainty assessments should take this limitation into consideration.",cutoff-3.9.1,707325d1-e9e3-55f2-a732-ddce4d744aa8_85086b85-ef0a-55c6-be1f-66e45e7aeaaa.spold,85086b85-ef0a-55c6-be1f-66e45e7aeaaa,BR-ES,"market for land use change, pasture, man made",[],1.0,"land use change, pasture, man made",[],process,hectare
eaa3a53d-a2d5-53a3-9ea7-c61c97fb288c,market activity,"{'data entry': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}, 'data generator': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}}","[('ISIC rev.4 ecoinvent', '0162:Support activities for animal production'), ('CPC', '7: Financial and related services; real estate services; and rental and leasing services')]",c9f7aa91c3e12d47e5be28df2288a35c,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This market represents the mix of land tenure 'land tenure, arable land, measured as carbon net primary productivity, pasture, man made', in Brazil, Maranhão. This is land that is made accessible for cultivation after deforestation, transformation from primary or secondary forest, or change from annual to perennial crops (or vice versa), and is used by activities modelling land use change only.
The production volumes and market shares of land tenure and LUC have a high level of uncertainty, which can have large impacts in overall LCIA results (Novaes et al. 2017). However, the uncertainty associated with these data could not easily be reflected in the datasets. Uncertainty assessments should take this limitation into consideration.",cutoff-3.9.1,eaa3a53d-a2d5-53a3-9ea7-c61c97fb288c_8931016e-3e07-5c9a-91a6-cd85b90a2aaa.spold,8931016e-3e07-5c9a-91a6-cd85b90a2aaa,BR-MA,"market for land tenure, arable land, measured as carbon net primary productivity, pasture, man made",[],1.0,"land tenure, arable land, measured as carbon net primary productivity, pasture, man made",[],process,kilogram
45fe907b-33fe-588d-a00c-4379dab22d3b,market group,"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')]",5cb69853f15e2cf372fcf87080a69dac,"This dataset is a market group. Market groups represent a 'market of markets'. Their purpose is to group a set of markets into larger, geographically relevant datasets.
Market groups are created for convenience and ease of use. They only group other markets and/or market groups contained within their geography.
Losses and relevant exchanges (transport, transport infrastructure, etc.) are not included in this dataset. They are present in the contained markets.  
This is the market group for 'electricity, medium voltage', in Asia.",cutoff-3.9.1,45fe907b-33fe-588d-a00c-4379dab22d3b_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,RAS,"market group for electricity, medium voltage",[],1.0,"electricity, medium voltage",[],process,kilowatt hour
f553c5f2-4799-51df-9099-dc56b5cc9997,market activity,"{'data entry': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}, 'data generator': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}}","[('ISIC rev.4 ecoinvent', '0162:Support activities for animal production'), ('CPC', '7: Financial and related services; real estate services; and rental and leasing services')]",efc5306311f89f8af3f00545eda428d7,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This market represents the mix of land tenure 'land tenure, arable land, measured as carbon net primary productivity, pasture, man made', in Brazil, Pará. This is land that is made accessible for cultivation after deforestation, transformation from primary or secondary forest, or change from annual to perennial crops (or vice versa), and is used by activities modelling land use change only.
The production volumes and market shares of land tenure and LUC have a high level of uncertainty, which can have large impacts in overall LCIA results (Novaes et al. 2017). However, the uncertainty associated with these data could not easily be reflected in the datasets. Uncertainty assessments should take this limitation into consideration.",cutoff-3.9.1,f553c5f2-4799-51df-9099-dc56b5cc9997_8931016e-3e07-5c9a-91a6-cd85b90a2aaa.spold,8931016e-3e07-5c9a-91a6-cd85b90a2aaa,BR-PA,"market for land tenure, arable land, measured as carbon net primary productivity, pasture, man made",[],1.0,"land tenure, arable land, measured as carbon net primary productivity, pasture, man made",[],process,kilogram
c9965785-9c0c-5fed-acb1-a2f6c2bb57b9,market activity,"{'data entry': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}, 'data generator': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}}","[('ISIC rev.4 ecoinvent', '0162:Support activities for animal production'), ('CPC', '7: Financial and related services; real estate services; and rental and leasing services')]",a9405bb2c3d95909304bea8650558149,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This market represents the mix of 'land use change, pasture, man made', in Brazil, Pará. This market connects the specific land use changeXX in VV to the crop producing activities. Transport or losses are irrelevant for this product.
The production volumes and market shares of land tenure and LUC have a high level of uncertainty, which can have large impacts in overall LCIA results (Novaes et al. 2017). However, the uncertainty associated with these data could not easily be reflected in the datasets. Uncertainty assessments should take this limitation into consideration.",cutoff-3.9.1,c9965785-9c0c-5fed-acb1-a2f6c2bb57b9_85086b85-ef0a-55c6-be1f-66e45e7aeaaa.spold,85086b85-ef0a-55c6-be1f-66e45e7aeaaa,BR-PA,"market for land use change, pasture, man made",[],1.0,"land use change, pasture, man made",[],process,hectare
4bc27642-cc96-50f9-8168-7b382685de90,market activity,"{'data entry': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}, 'data generator': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}}","[('ISIC rev.4 ecoinvent', '0162:Support activities for animal production'), ('CPC', '7: Financial and related services; real estate services; and rental and leasing services')]",9a32bb22c702fd3a6121328e2f2e158c,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This market represents the mix of land tenure 'land tenure, arable land, measured as carbon net primary productivity, pasture, man made', in Brazil, Amazonas. This is land that is made accessible for cultivation after deforestation, transformation from primary or secondary forest, or change from annual to perennial crops (or vice versa), and is used by activities modelling land use change only.
The production volumes and market shares of land tenure and LUC have a high level of uncertainty, which can have large impacts in overall LCIA results (Novaes et al. 2017). However, the uncertainty associated with these data could not easily be reflected in the datasets. Uncertainty assessments should take this limitation into consideration.",cutoff-3.9.1,4bc27642-cc96-50f9-8168-7b382685de90_8931016e-3e07-5c9a-91a6-cd85b90a2aaa.spold,8931016e-3e07-5c9a-91a6-cd85b90a2aaa,BR-AM,"market for land tenure, arable land, measured as carbon net primary productivity, pasture, man made",[],1.0,"land tenure, arable land, measured as carbon net primary productivity, pasture, man made",[],process,kilogram
083ca82d-803d-5431-b791-9107398bf585,market activity,"{'data entry': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}, 'data generator': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}}","[('ISIC rev.4 ecoinvent', '0162:Support activities for animal production'), ('CPC', '7: Financial and related services; real estate services; and rental and leasing services')]",9686c93ace370be77648e2dfd4046908,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This market represents the mix of land tenure 'land tenure, arable land, measured as carbon net primary productivity, pasture, man made', in Brazil, Mato Grosso. This is land that is made accessible for cultivation after deforestation, transformation from primary or secondary forest, or change from annual to perennial crops (or vice versa), and is used by activities modelling land use change only.
The production volumes and market shares of land tenure and LUC have a high level of uncertainty, which can have large impacts in overall LCIA results (Novaes et al. 2017). However, the uncertainty associated with these data could not easily be reflected in the datasets. Uncertainty assessments should take this limitation into consideration.",cutoff-3.9.1,083ca82d-803d-5431-b791-9107398bf585_8931016e-3e07-5c9a-91a6-cd85b90a2aaa.spold,8931016e-3e07-5c9a-91a6-cd85b90a2aaa,BR-MT,"market for land tenure, arable land, measured as carbon net primary productivity, pasture, man made",[],1.0,"land tenure, arable land, measured as carbon net primary productivity, pasture, man made",[],process,kilogram
fc4f543a-997a-5926-b2ed-1d9d21527897,market activity,"{'data entry': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}, 'data generator': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}}","[('ISIC rev.4 ecoinvent', '0162:Support activities for animal production'), ('CPC', '7: Financial and related services; real estate services; and rental and leasing services')]",44eb57ada5499566c962f58879647275,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This market represents the mix of 'land use change, pasture, man made', in Brazil, Roraima. This market connects the specific land use changeXX in VV to the crop producing activities. Transport or losses are irrelevant for this product.
The production volumes and market shares of land tenure and LUC have a high level of uncertainty, which can have large impacts in overall LCIA results (Novaes et al. 2017). However, the uncertainty associated with these data could not easily be reflected in the datasets. Uncertainty assessments should take this limitation into consideration.",cutoff-3.9.1,fc4f543a-997a-5926-b2ed-1d9d21527897_85086b85-ef0a-55c6-be1f-66e45e7aeaaa.spold,85086b85-ef0a-55c6-be1f-66e45e7aeaaa,BR-RR,"market for land use change, pasture, man made",[],1.0,"land use change, pasture, man made",[],process,hectare
83a57d6d-0165-5387-a3e7-a5786e051bf5,market activity,"{'data entry': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}, 'data generator': {'name': 'Renan Novaes', 'email': 'renan.milagres@embrapa.br'}}","[('ISIC rev.4 ecoinvent', '0162:Support activities for animal production'), ('CPC', '7: Financial and related services; real estate services; and rental and leasing services')]",dfe521e0da14c3174fc4eeb1b218757c,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This market represents the mix of 'land use change, pasture, man made', in Brazil, Mato Grosso. This market connects the specific land use changeXX in VV to the crop producing activities. Transport or losses are irrelevant for this product.
The production volumes and market shares of land tenure and LUC have a high level of uncertainty, which can have large impacts in overall LCIA results (Novaes et al. 2017). However, the uncertainty associated with these data could not easily be reflected in the datasets. Uncertainty assessments should take this limitation into consideration.",cutoff-3.9.1,83a57d6d-0165-5387-a3e7-a5786e051bf5_85086b85-ef0a-55c6-be1f-66e45e7aeaaa.spold,85086b85-ef0a-55c6-be1f-66e45e7aeaaa,BR-MT,"market for land use change, pasture, man made",[],1.0,"land use change, pasture, man made",[],process,hectare
